date,site,home,div,score,away,div,score,win,lose,wr,lr,dr,wo1,lo1,wo2,lo2,wso,lso
2015-11-21,home,Amherst,D3,1.20,Lycoming,D3,0.68,0.652,0.348,0.486,0.210,0.304,0.037,0.021,0.030,0.017,0.100,0.100
2015-11-21,neutral,Brandeis,D3,0.59,Trinity (TX),D3,1.18,0.322,0.678,0.184,0.506,0.311,0.018,0.037,0.015,0.030,0.105,0.105
2015-11-21,neutral,Calvin,D3,1.24,Frank. & Marsh.,D3,0.80,0.624,0.376,0.465,0.240,0.295,0.036,0.023,0.029,0.019,0.094,0.094
2015-11-21,home,Haverford,D3,1.19,St. Lawrence,D3,1.22,0.490,0.510,0.353,0.371,0.276,0.032,0.033,0.024,0.025,0.081,0.081
2015-11-21,home,Kenyon,D3,1.05,Tufts,D3,0.78,0.579,0.421,0.410,0.268,0.322,0.034,0.025,0.028,0.021,0.107,0.107
2015-11-21,home,Loras,D3,2.21,DePauw,D3,0.85,0.797,0.203,0.683,0.131,0.186,0.039,0.015,0.028,0.011,0.047,0.047
2015-11-21,neutral,MIT,D3,0.94,SUNY Oneonta,D3,1.35,0.389,0.611,0.261,0.462,0.277,0.025,0.037,0.020,0.028,0.084,0.084
2015-11-21,neutral,St. Olaf,D3,1.15,Wheaton (IL),D3,1.41,0.434,0.566,0.308,0.428,0.263,0.029,0.036,0.022,0.027,0.075,0.075
