date,site,team,div,t_score,opp,div,o_score
2017-09-23,home,Academy of Art,D2,1.1,Dominican (CA),D2,1.4
2017-10-12,home,Academy of Art,D2,0.8,Dixie St.,D2,1.7
2017-10-14,home,Academy of Art,D2,1.1,Concordia (CA),D2,2.1
2017-10-21,home,Academy of Art,D2,1.9,Holy Names,D2,1.5
2017-11-02,home,Academy of Art,D2,1.3,Biola,D2,1.1
2017-11-04,home,Academy of Art,D2,1.1,Point Loma,D2,1.5
2017-09-22,home,Adams St.,D2,0.8,Colorado Mesa,D2,0.9
2017-09-24,home,Adams St.,D2,1.4,Westminster (UT),D2,0.8
2017-09-29,home,Adams St.,D2,1.0,Fort Lewis,D2,0.7
2017-10-01,home,Adams St.,D2,2.7,Colorado St.-Pueblo,D2,0.6
2017-10-08,home,Adams St.,D2,1.6,MSU Denver,D2,0.9
2017-10-20,home,Adams St.,D2,1.3,Colo. Sch. of Mines,D2,1.0
2017-10-22,home,Adams St.,D2,1.4,Regis (CO),D2,1.2
2017-09-20,home,Adelphi,D2,3.7,New Haven,D2,0.9
2017-09-30,home,Adelphi,D2,2.3,Southern N.H.,D2,1.5
2017-10-14,home,Adelphi,D2,1.4,Merrimack,D2,1.4
2017-10-18,home,Adelphi,D2,3.8,Saint Rose,D2,1.1
2017-10-27,home,Adelphi,D2,2.9,American Int'l,D2,1.3
2017-09-23,home,Adrian,D3,1.1,Albion,D3,1.2
2017-09-27,home,Adrian,D3,1.5,Alma,D3,0.9
2017-10-11,home,Adrian,D3,1.6,Kalamazoo,D3,1.1
2017-10-14,home,Adrian,D3,0.7,Calvin,D3,1.8
2017-10-25,home,Adrian,D3,1.2,Trine,D3,1.3
2017-10-28,home,Adrian,D3,1.1,Hope,D3,0.8
2017-09-29,home,Air Force,D1,1.7,Incarnate Word,D1,0.6
2017-10-01,home,Air Force,D1,1.1,UTRGV,D1,0.6
2017-10-08,home,Air Force,D1,1.2,Houston Baptist,D1,0.7
2017-10-20,home,Air Force,D1,1.3,UNLV,D1,0.5
2017-10-22,home,Air Force,D1,1.8,Grand Canyon,D1,0.8
2017-09-24,home,Akron,D1,1.2,UMass Lowell,D1,0.9
2017-09-27,home,Akron,D1,0.6,Michigan St.,D1,0.8
2017-09-30,home,Akron,D1,1.2,Saint Mary's (CA),D1,0.7
2017-10-10,home,Akron,D1,1.4,Cleveland St.,D1,0.7
2017-10-13,home,Akron,D1,1.2,SIUE,D1,0.6
2017-10-17,home,Akron,D1,0.8,Notre Dame,D1,1.0
