rk,team,div,str,ofs,dfs,sos
140,Central Conn. St.,D1,2.869,1.818,0.634,1.517
141,Stony Brook,D1,2.845,1.760,0.619,1.738
142,Longwood,D1,2.832,1.638,0.579,1.432
143,Northwestern,D1,2.807,1.490,0.531,1.955
144,VCU,D1,2.797,1.665,0.595,1.816
145,CSU Bakersfield,D1,2.787,1.375,0.493,1.762
146,Fairfield,D1,2.745,1.656,0.603,1.528
147,George Mason,D1,2.694,1.729,0.642,1.620
148,Marshall,D1,2.669,1.616,0.606,1.768
149,Pittsburgh,D1,2.644,1.281,0.484,1.841
150,Santa Clara,D1,2.614,1.378,0.527,1.813
151,DePaul,D1,2.613,1.519,0.581,1.897
152,Cal St. L.A.,D2,2.604,1.247,0.479,0.955
153,Duquesne,D1,2.597,1.198,0.461,1.528
154,UAB,D1,2.594,2.056,0.793,1.871
155,Delaware,D1,2.591,1.757,0.678,1.818
156,Seattle Pacific,D2,2.585,0.747,0.289,0.929
157,North Florida,D1,2.576,2.735,1.062,1.793
158,Campbell,D1,2.563,2.217,0.865,1.684
159,Ga. Southern,D1,2.529,1.972,0.780,1.486
160,Tex.-Pan American,D1,2.496,1.347,0.540,1.762
161,Portland,D1,2.489,1.557,0.625,1.804
162,Millersville,D2,2.455,1.554,0.633,0.855
163,Milwaukee,D1,2.438,1.555,0.638,1.655
164,Rogers St.,D2,2.412,1.282,0.532,0.942
165,Eckerd,D2,2.408,0.737,0.306,1.232
166,Siena,D1,2.407,1.573,0.654,1.565
167,Francis Marion,D2,2.406,1.488,0.618,1.012
168,Davidson,D1,2.403,1.467,0.610,1.763
169,Young Harris,D2,2.397,1.659,0.692,1.060
170,Drexel,D1,2.329,1.237,0.531,1.784
171,Colorado Mines,D2,2.314,1.565,0.677,0.840
172,IPFW,D1,2.305,1.535,0.666,1.714
173,UMass Boston,D3,2.293,1.515,0.661,0.716
174,Rensselaer,D3,2.275,1.216,0.534,0.848
175,Robert Morris,D1,2.252,1.920,0.853,1.476
176,Bryant,D1,2.241,1.839,0.821,1.682
177,Kenyon,D3,2.228,1.476,0.662,0.774
178,Montclair St.,D3,2.221,2.219,0.999,0.767
179,UMKC,D1,2.220,1.482,0.667,1.742
180,Western Ill.,D1,2.213,2.223,1.005,1.589
181,IUPUI,D1,2.210,1.344,0.608,1.699
182,Pfeiffer,D2,2.189,1.676,0.766,0.865
183,Wisconsin,D1,2.183,1.506,0.690,1.848
184,MIT,D3,2.172,1.413,0.651,0.704
185,Canisius,D1,2.169,1.334,0.615,1.420
186,Winthrop,D1,2.137,1.957,0.916,1.584
187,Fordham,D1,2.132,1.392,0.653,1.611
188,Northeastern,D1,2.130,0.846,0.397,2.075
189,Harvard,D1,2.103,1.210,0.575,1.799
190,Jacksonville,D1,2.102,1.915,0.911,1.655
191,Amherst,D3,2.092,0.993,0.475,0.790
192,Appalachian St.,D1,2.081,1.082,0.520,1.478
193,San Jose St.,D1,2.079,1.256,0.604,1.802
194,Liberty,D1,2.077,1.501,0.722,1.456
195,Cedarville,D2,2.066,1.606,0.777,0.833
196,St. Mary's (CA),D1,2.058,1.706,0.829,1.666
197,Florida Tech,D2,2.042,1.623,0.795,1.179
198,George Washington,D1,2.025,1.534,0.758,1.538
199,Bradley,D1,2.006,1.488,0.742,1.668
200,Merrimack,D2,2.003,1.934,0.966,1.041
201,Oral Roberts,D1,1.991,1.386,0.696,1.584
202,Marist,D1,1.975,1.614,0.817,1.554
203,LIU Brooklyn,D1,1.964,1.506,0.767,1.378
204,Wis.-Oshkosh,D3,1.955,1.339,0.685,0.753
205,Tex. Permian Basin,D2,1.950,1.421,0.729,1.080
206,Lipscomb,D1,1.933,1.280,0.662,1.600
207,Kean,D3,1.927,1.477,0.767,0.661
208,Frank. & Marsh.,D3,1.887,1.147,0.608,0.750
209,Wabash,D3,1.887,1.176,0.623,0.645
210,NJIT,D1,1.885,1.181,0.627,1.444
211,La Salle,D1,1.883,1.553,0.825,1.482
212,Fairleigh Dickinson,D1,1.879,1.453,0.774,1.654
213,Whitworth,D3,1.878,1.019,0.543,0.620
214,Cleveland St.,D1,1.875,1.434,0.765,1.623
215,St. John's (NY),D1,1.864,1.113,0.597,1.918
216,UNC Asheville,D1,1.852,1.021,0.551,1.576
217,Limestone,D2,1.833,1.694,0.924,0.939
218,Middlebury,D3,1.828,0.899,0.492,0.754
219,Tampa,D2,1.827,1.470,0.805,1.180
220,Barry,D2,1.799,1.456,0.809,1.099
221,Nova Southeastern,D2,1.791,0.996,0.556,1.170
222,Seton Hall,D1,1.777,1.575,0.886,1.938
223,Le Moyne,D2,1.762,1.112,0.631,1.035
224,Notre Dame (OH),D2,1.733,1.716,0.990,0.975
225,Saint Leo,D2,1.725,1.268,0.735,1.261
226,Case,D3,1.717,1.230,0.716,0.744
227,Wis.-Whitewater,D3,1.701,1.716,1.009,0.807
228,Rockhurst,D2,1.693,1.361,0.803,0.887
229,Bridgeport,D2,1.688,0.947,0.561,0.889
230,Rutgers-Camden,D3,1.687,1.268,0.752,0.815
231,Cal St. Dom. Hills,D2,1.657,1.976,1.192,0.976
232,San Francisco,D1,1.648,1.806,1.096,1.704
233,Saint Rose,D2,1.620,1.057,0.653,1.015
234,Pacific,D1,1.617,1.328,0.821,1.710
235,James Madison,D1,1.613,1.044,0.648,1.747
236,Evansville,D1,1.607,1.485,0.924,1.628
237,Sacred Heart,D1,1.606,1.173,0.731,1.641
238,Belmont,D1,1.603,1.254,0.782,1.598
239,Brockport,D3,1.588,0.957,0.603,0.754
240,Rowan,D3,1.584,1.566,0.989,0.834
241,Carson-Newman,D2,1.573,1.517,0.964,0.939
242,Franklin Pierce,D2,1.572,1.495,0.951,1.035
243,Adelphi,D2,1.571,1.251,0.796,1.039
244,Wilmington (DE),D2,1.557,1.415,0.909,0.821
245,Northwest Nazarene,D2,1.556,0.855,0.549,0.947
246,Plattsburgh St.,D3,1.552,1.461,0.941,0.827
247,Tex. A&M Int'l,D2,1.528,0.990,0.648,1.275
248,Springfield,D3,1.527,0.956,0.626,0.566
249,Loyola Maryland,D1,1.526,0.807,0.529,1.855
250,Upper Iowa,D2,1.507,0.912,0.605,0.759
251,Gettysburg,D3,1.505,1.192,0.792,0.724
252,LIU Post,D2,1.502,1.117,0.743,0.903
253,Yale,D1,1.501,1.272,0.847,1.643
254,Green Bay,D1,1.492,0.680,0.456,1.685
255,West Tex. A&M,D2,1.488,1.844,1.239,1.139
256,Clayton St.,D2,1.483,1.542,1.040,1.110
257,Skidmore,D3,1.481,1.091,0.737,0.835
258,SUNY Oneonta,D3,1.478,1.025,0.694,0.891
259,Quinnipiac,D1,1.467,1.071,0.730,1.624
260,Lincoln Memorial,D2,1.413,1.240,0.878,0.930
261,Wesleyan (CT),D3,1.411,1.183,0.838,0.861
262,Saint Joseph's,D1,1.408,1.380,0.980,1.490
263,Niagara,D1,1.402,1.604,1.144,1.536
264,Mont. St. Billings,D2,1.390,1.250,0.899,0.965
265,Tusculum,D2,1.381,0.888,0.643,0.933
266,Cornell,D1,1.379,0.992,0.720,1.646
267,Union (NY),D3,1.375,0.811,0.589,0.843
268,Manhattan,D1,1.370,0.844,0.616,1.580
269,Lake Erie,D2,1.352,1.350,0.999,1.022
270,Fresno Pacific,D2,1.351,1.334,0.987,0.812
271,Carnegie Mellon,D3,1.342,1.663,1.239,0.754
272,SUNY Potsdam,D3,1.341,1.242,0.926,0.858
273,Anderson (SC),D2,1.327,0.989,0.745,1.011
274,Rollins,D2,1.319,1.733,1.314,1.229
275,Tufts,D3,1.310,0.975,0.744,0.904
276,Urbana,D2,1.301,0.984,0.756,0.983
277,Lee,D2,1.296,1.422,1.098,0.866
278,Hawaii Pacific,D2,1.291,1.235,0.957,0.776
279,West Florida,D2,1.286,1.257,0.977,0.831
280,Mo.-St. Louis,D2,1.282,1.041,0.811,0.903
281,Lycoming,D3,1.278,1.245,0.975,0.698
282,Flagler,D2,1.268,1.317,1.039,1.177
283,Cal Poly Pomona,D2,1.266,1.142,0.902,0.986
284,Memphis,D1,1.245,0.885,0.711,1.832
285,Lenoir-Rhyne,D2,1.240,1.157,0.933,1.009
286,Saint Michael's,D2,1.238,1.112,0.898,0.932
287,Colorado Mesa,D2,1.231,1.098,0.893,0.947
288,Alderson Broaddus,D2,1.220,0.928,0.761,0.881
289,S.C. Aiken,D2,1.219,1.074,0.881,1.082
290,Okla. Christian,D2,1.215,0.762,0.627,0.963
291,Calvin,D3,1.214,0.846,0.696,0.618
292,San Fran. St.,D2,1.210,0.901,0.745,0.938
293,Endicott,D3,1.183,0.886,0.749,0.702
294,Fort Hays St.,D2,1.179,1.367,1.159,0.948
295,Fort Lewis,D2,1.176,1.073,0.913,0.924
296,Eastern Ill.,D1,1.172,1.296,1.105,1.681
297,Slippery Rock,D2,1.167,1.070,0.917,0.914
298,Tiffin,D2,1.167,0.996,0.854,1.012
299,Chowan,D2,1.165,1.015,0.872,0.804
300,Occidental,D3,1.153,0.889,0.771,0.664
301,St. Mary's (TX),D2,1.150,1.080,0.939,1.133
302,Denison,D3,1.148,0.821,0.715,0.787
303,Missouri S&T,D2,1.142,1.308,1.145,0.919
304,Bloomsburg,D2,1.140,1.101,0.966,0.854
305,Quincy,D2,1.138,1.432,1.259,0.907
306,Christian Bros.,D2,1.137,1.162,1.022,0.813
307,Sonoma St.,D2,1.134,1.050,0.926,1.000
308,Fla. Atlantic,D1,1.134,1.147,1.011,1.816
309,Dixie St.,D2,1.113,0.767,0.689,0.774
310,Western Wash.,D2,1.112,1.023,0.920,1.002
311,West Va. Wesleyan,D2,1.112,1.426,1.282,1.045
312,North Park,D3,1.112,1.044,0.939,0.745
313,Hobart,D3,1.104,0.782,0.709,0.838
314,Bellarmine,D2,1.100,0.827,0.752,0.901
315,Curry,D3,1.094,1.054,0.964,0.565
316,Stockton,D3,1.082,1.068,0.988,0.823
317,Loras,D3,1.080,0.962,0.891,0.840
318,East Stroudsburg,D2,1.074,1.375,1.280,0.803
319,MSOE,D3,1.070,1.358,1.269,0.739
320,Oberlin,D3,1.064,1.333,1.253,0.757
321,Messiah,D3,1.060,1.120,1.057,0.765
322,Gardner-Webb,D1,1.057,1.193,1.128,1.709
323,Philadelphia U.,D2,1.049,0.740,0.705,0.823
324,Penn,D1,1.049,0.665,0.635,1.785
325,Brandeis,D3,1.044,0.574,0.549,0.846
326,SUNY Cortland,D3,1.044,1.501,1.438,0.847
327,California (PA),D2,1.041,1.187,1.141,0.897
328,Mount Olive,D2,1.037,1.098,1.059,0.886
329,Eastern Conn. St.,D3,1.031,1.012,0.982,0.717
330,Knox,D3,1.022,1.399,1.369,0.554
331,Erskine,D2,1.021,0.971,0.951,1.012
332,Frostburg St.,D3,1.019,0.861,0.845,0.637
333,Emmanuel (GA),D2,1.013,1.225,1.209,0.901
334,Southern Conn. St.,D2,1.013,0.795,0.785,1.065
335,Merchant Marine,D3,1.010,1.046,1.035,0.701
336,Lubbock Christian,D2,1.008,1.010,1.002,1.081
337,Cal St. Monterey Bay,D2,1.004,1.151,1.147,1.009
338,Vassar,D3,1.004,1.392,1.386,0.907
339,Post,D2,1.002,0.981,0.979,0.895
340,Haverford,D3,1.002,1.253,1.251,0.839
341,Stevens,D3,0.998,0.892,0.894,0.701
342,Bentley,D2,0.996,0.826,0.829,1.025
343,Wheeling Jesuit,D2,0.991,0.991,1.000,1.009
344,St. Joseph's (IN),D2,0.973,0.697,0.717,0.902
345,Dickinson,D3,0.971,1.089,1.122,0.766
346,Catawba,D2,0.968,1.197,1.237,0.950
347,Chris. Newport,D3,0.960,1.024,1.066,0.655
348,Babson,D3,0.960,0.834,0.869,0.823
349,Ala.-Huntsville,D2,0.957,0.926,0.968,0.866
350,St. Thomas (MN),D3,0.949,1.056,1.112,0.680
351,Massachusetts,D1,0.948,0.995,1.049,1.661
352,Lindenwood (MO),D2,0.947,1.434,1.514,0.949
353,Luther,D3,0.945,1.171,1.240,0.726
354,WPI,D3,0.943,0.855,0.906,0.679
355,UIndy,D2,0.940,0.733,0.780,0.923
356,West Ala.,D2,0.935,1.008,1.079,0.969
357,Stonehill,D2,0.929,1.343,1.445,1.034
358,St. Scholastica,D3,0.928,1.452,1.565,0.500
359,Bloomfield,D2,0.922,1.263,1.371,0.789
360,Metro St.,D2,0.917,0.965,1.053,0.864
361,Simon Fraser,D2,0.917,0.933,1.018,1.009
362,Buffalo St.,D3,0.915,0.814,0.890,0.818
363,UNC Pembroke,D2,0.914,1.051,1.150,1.004
364,Eastern,D3,0.914,0.754,0.825,0.580
365,Molloy,D2,0.906,1.157,1.277,0.834
366,Wheaton (MA),D3,0.881,1.222,1.386,0.764
367,Dallas Baptist,D2,0.879,0.622,0.708,1.034
368,Rochester (NY),D3,0.877,0.746,0.850,0.853
369,McKendree,D2,0.877,0.830,0.946,0.891
370,Shippensburg,D2,0.874,1.125,1.287,0.862
371,Lock Haven,D2,0.872,0.852,0.977,0.938
372,Trinity (TX),D3,0.864,0.815,0.943,0.626
373,Bowdoin,D3,0.855,0.609,0.713,0.760
374,Connecticut Col.,D3,0.854,0.972,1.137,0.796
375,Roberts Wesleyan,D2,0.853,1.330,1.559,0.866
376,Colorado St.-Pueblo,D2,0.850,1.217,1.433,0.862
377,Bridgewater St.,D3,0.847,0.726,0.858,0.651
378,King (TN),D2,0.842,1.013,1.203,0.953
379,DePauw,D3,0.842,0.971,1.153,0.748
380,Chico St.,D2,0.842,0.740,0.880,0.953
381,Wis.-Parkside,D2,0.836,1.029,1.232,0.972
382,Southern Ind.,D2,0.835,1.123,1.344,0.880
383,Rutgers-Newark,D3,0.829,1.299,1.567,0.786
384,Bates,D3,0.826,0.945,1.144,0.792
385,Montevallo,D2,0.825,1.027,1.244,1.035
386,TCNJ,D3,0.823,1.225,1.488,0.800
387,VMI,D1,0.822,0.741,0.901,1.703
388,Howard,D1,0.821,1.196,1.456,1.614
389,Drew,D3,0.818,0.757,0.925,0.670
390,Elizabethtown,D3,0.814,1.022,1.256,0.681
391,Washington-St. Louis,D3,0.812,0.769,0.947,0.697
392,Eastern N.M.,D2,0.811,1.085,1.338,1.074
393,Williams,D3,0.807,0.886,1.098,1.024
394,Central Ark.,D1,0.804,1.012,1.260,1.604
395,Maryville (MO),D2,0.803,0.598,0.745,0.890
396,Macalester,D3,0.799,0.833,1.043,0.685
397,Emory,D3,0.795,0.912,1.146,0.750
398,Hood,D3,0.794,0.835,1.051,0.618
399,Point Loma,D2,0.793,0.553,0.697,0.864
400,Mars Hill,D2,0.793,0.830,1.046,0.997
401,Lynchburg,D3,0.792,0.876,1.106,0.592
402,Ohio Northern,D3,0.790,1.019,1.290,0.664
403,Gordon,D3,0.788,0.842,1.069,0.721
404,Mercy,D2,0.786,0.845,1.074,0.878
405,Southern Wesleyan,D2,0.784,0.868,1.107,0.814
406,Hiram,D3,0.782,0.912,1.166,0.773
407,St. Anselm,D2,0.781,1.048,1.342,1.014
408,Drury,D2,0.781,0.803,1.028,0.916
409,Bard,D3,0.775,0.850,1.096,0.613
410,Oglethorpe,D3,0.773,0.918,1.188,0.589
411,St. Mary's (MD),D3,0.772,1.263,1.635,0.723
412,Ohio Wesleyan,D3,0.772,1.016,1.317,0.767
413,Pacific Lutheran,D3,0.772,0.931,1.205,0.704
414,Washington Col.,D3,0.766,0.903,1.178,0.702
415,Concordia (NY),D2,0.752,0.793,1.054,0.783
416,Cal St. San B'dino,D2,0.751,0.877,1.168,1.017
417,Norwich,D3,0.750,0.989,1.319,0.469
418,Texas-Dallas,D3,0.749,0.796,1.063,0.551
419,Regis (CO),D2,0.746,0.545,0.732,0.863
420,Concordia Wisconsin,D3,0.745,0.857,1.149,0.663
421,Dubuque,D3,0.743,0.839,1.129,0.763
422,Wis.-Platteville,D3,0.743,0.930,1.251,0.702
423,Millsaps,D3,0.742,1.066,1.436,0.577
424,UC-Colo. Springs,D2,0.741,0.954,1.288,0.858
425,BYU-Hawaii,D2,0.738,0.740,1.003,0.802
426,Ramapo,D3,0.724,0.860,1.188,0.733
427,Salem Int'l,D2,0.724,0.915,1.264,0.899
428,Benedictine (IL),D3,0.714,0.899,1.258,0.733
429,Thomas More,D3,0.714,1.176,1.646,0.628
