BEGIN
SET
    date    |  site   |         team         | div | t_score |         opp          | div | o_score 
------------+---------+----------------------+-----+---------+----------------------+-----+---------
 2016-11-01 | home    | Academy of Art       | D2  |     1.1 | Hawaii Pacific       | D2  |     3.1
 2016-11-05 | home    | Air Force            | D1  |     1.4 | Seattle              | D1  |     1.5
 2016-11-02 | home    | Akron                | D1  |     2.2 | Grand Canyon         | D1  |     1.1
 2016-11-05 | home    | Akron                | D1  |     1.7 | Western Mich.        | D1  |     1.2
 2016-11-02 | home    | Albany (NY)          | D1  |     1.5 | Binghamton           | D1  |     0.9
 2016-10-30 | home    | American             | D1  |     2.2 | Holy Cross           | D1  |     1.3
 2016-11-05 | home    | Army West Point      | D1  |     1.8 | Bucknell             | D1  |     1.0
 2016-10-30 | home    | Ashland              | D2  |     0.8 | Tiffin               | D2  |     2.2
 2016-11-04 | home    | Azusa Pacific        | D2  |     1.4 | Point Loma           | D2  |     1.0
 2016-11-04 | home    | Belmont              | D1  |     0.9 | Detroit              | D1  |     1.2
 2016-11-04 | home    | Boston U.            | D1  |     1.3 | Navy                 | D1  |     0.8
 2016-11-05 | home    | Bowling Green        | D1  |     1.3 | Buffalo              | D1  |     0.8
 2016-10-30 | home    | Brandeis             | D3  |     1.3 | Rochester (NY)       | D3  |     0.8
 2016-11-05 | home    | Brown                | D1  |     1.4 | Yale                 | D1  |     0.8
 2016-10-30 | home    | Bryant               | D1  |     0.8 | St. Francis Brooklyn | D1  |     1.5
 2016-10-30 | home    | Buffalo              | D1  |     2.1 | Oral Roberts         | D1  |     1.0
 2016-10-30 | home    | California           | D1  |     1.7 | Oregon St.           | D1  |     1.2
 2016-11-03 | home    | California Baptist   | D2  |     3.2 | Academy of Art       | D2  |     0.5
 2016-11-02 | home    | Campbell             | D1  |     1.3 | High Point           | D1  |     2.5
 2016-10-30 | home    | Carnegie Mellon      | D3  |     0.8 | Chicago              | D3  |     1.6
 2016-11-05 | home    | Carnegie Mellon      | D3  |     1.1 | CWRU                 | D3  |     0.8
 2016-10-30 | home    | Case                 | D3  |     1.0 | Washington-St. Louis | D3  |     0.9
 2016-11-05 | home    | Central Ark.         | D1  |     1.1 | Missouri St.         | D1  |     0.8
 2016-11-01 | home    | Charlotte            | D1  |     2.3 | Appalachian St.      | D1  |     0.4
 2016-11-05 | home    | Coastal Caro.        | D1  |     1.2 | Georgia St.          | D1  |     1.1
 2016-10-30 | neutral | Cobleskill St.       | D3  |     2.6 | Wilson               | D3  |     2.0
 2016-10-30 | home    | Colo. Christian      | D2  |     1.2 | Colorado St.-Pueblo  | D2  |     1.9
 2016-11-01 | home    | Col. of Charleston   | D1  |     1.7 | Drexel               | D1  |     0.6
 2016-10-30 | home    | Concordia Wisconsin  | D3  |     2.8 | Aurora               | D3  |     1.3
 2016-11-05 | home    | Cornell              | D1  |     0.7 | Dartmouth            | D1  |     1.7
 2016-11-03 | home    | Creighton            | D1  |     1.5 | Georgetown           | D1  |     0.6
 2016-11-05 | home    | CSU Bakersfield      | D1  |     1.5 | Houston Baptist      | D1  |     1.0
 2016-10-30 | home    | Dallas               | D3  |     0.8 | Colorado Col.        | D3  |     1.4
 2016-11-03 | home    | Denver               | D1  |     1.3 | Portland             | D1  |     0.8
 2016-10-31 | home    | Dixie St.            | D2  |     2.0 | Notre Dame de Namur  | D2  |     0.8
 2016-11-05 | home    | Dixie St.            | D2  |     1.5 | California Baptist   | D2  |     0.9
 2016-11-03 | home    | Dominican (CA)       | D2  |     1.1 | Chaminade            | D2  |     0.8
 2016-11-05 | home    | Dominican (CA)       | D2  |     1.0 | BYU-Hawaii           | D2  |     1.4
 2016-11-01 | home    | Drake                | D1  |     2.0 | Western Ill.         | D1  |     1.4
 2016-11-05 | home    | Duquesne             | D1  |     1.1 | Rhode Island         | D1  |     0.8
 2016-11-01 | home    | Elon                 | D1  |     1.3 | UNCW                 | D1  |     0.8
 2016-11-05 | home    | Evansville           | D1  |     1.0 | SIUE                 | D1  |     1.1
 2016-11-02 | home    | Fairfield            | D1  |     0.8 | Quinnipiac           | D1  |     1.3
 2016-11-01 | home    | Fairleigh Dickinson  | D1  |     0.8 | Army West Point      | D1  |     1.2
 2016-11-05 | home    | FIU                  | D1  |     1.2 | UAB                  | D1  |     0.8
 2016-11-02 | home    | Fla. Atlantic        | D1  |     1.2 | UCF                  | D1  |     1.3
 2016-11-05 | home    | Fordham              | D1  |     1.9 | St. Bonaventure      | D1  |     0.6
 2016-10-30 | home    | Fort Hays St.        | D2  |     2.9 | Northeastern St.     | D2  |     0.9
 2016-11-03 | home    | Fresno Pacific       | D2  |     3.4 | Hawaii Hilo          | D2  |     1.3
 2016-11-05 | home    | Fresno Pacific       | D2  |     2.8 | Hawaii Pacific       | D2  |     2.9
 2016-11-02 | home    | Gardner-Webb         | D1  |     1.1 | Presbyterian         | D1  |     1.2
 2016-11-04 | home    | Ga. Southern         | D1  |     1.4 | Appalachian St.      | D1  |     0.9
 2016-11-05 | home    | George Mason         | D1  |     1.5 | Davidson             | D1  |     1.6
 2016-11-05 | home    | George Washington    | D1  |     1.1 | Saint Louis          | D1  |     0.6
 2016-10-30 | home    | Gonzaga              | D1  |     1.3 | Loyola Marymount     | D1  |     1.1
 2016-11-04 | home    | Green Bay            | D1  |     1.1 | Northern Ky.         | D1  |     0.8
 2016-11-01 | home    | Hartwick             | D1  |     1.3 | La Salle             | D1  |     1.0
 2016-11-05 | home    | Hartwick             | D1  |     2.1 | Howard               | D1  |     0.5
 2016-11-05 | home    | Harvard              | D1  |     1.3 | Columbia             | D1  |     1.0
 2016-11-05 | home    | Holy Cross           | D1  |     2.0 | Loyola Maryland      | D1  |     1.5
 2016-11-03 | home    | Holy Names           | D2  |     0.6 | BYU-Hawaii           | D2  |     2.1
 2016-11-05 | home    | Holy Names           | D2  |     1.2 | Hawaii Hilo          | D2  |     1.1
 2016-10-30 | home    | Houston Baptist      | D1  |     1.2 | Incarnate Word       | D1  |     1.3
 2016-10-30 | home    | Indiana              | D1  |     0.9 | Michigan St.         | D1  |     0.7
 2016-11-05 | home    | IUPUI                | D1  |     1.0 | Eastern Ill.         | D1  |     1.5
