BEGIN
SET
    date    |  site   |         team         | div | t_score |         opp          | div | o_score 
------------+---------+----------------------+-----+---------+----------------------+-----+---------
 2016-10-16 | home    | Academy of Art       | D2  |     0.8 | Dominican (CA)       | D2  |     2.1
 2016-10-27 | home    | Academy of Art       | D2  |     0.8 | Notre Dame de Namur  | D2  |     2.0
 2016-11-01 | home    | Academy of Art       | D2  |     0.7 | Hawaii Pacific       | D2  |     2.7
 2016-10-09 | home    | Adams St.            | D2  |     1.7 | Colorado St.-Pueblo  | D2  |     1.5
 2016-10-21 | home    | Adams St.            | D2  |     1.1 | Colorado Mines       | D2  |     2.8
 2016-10-23 | home    | Adams St.            | D2  |     3.4 | Colo. Christian      | D2  |     1.2
 2016-10-08 | home    | Adelphi              | D2  |     2.1 | Stonehill            | D2  |     0.5
 2016-10-11 | home    | Adelphi              | D2  |     1.9 | Franklin Pierce      | D2  |     0.9
 2016-10-19 | home    | Adelphi              | D2  |     1.2 | Southern Conn. St.   | D2  |     0.5
 2016-10-22 | home    | Adelphi              | D2  |     2.1 | St. Anselm           | D2  |     0.4
 2016-10-05 | home    | Adrian               | D3  |     1.1 | Alma                 | D3  |     0.8
 2016-10-08 | home    | Adrian               | D3  |     1.0 | Calvin               | D3  |     2.3
 2016-10-11 | home    | Adrian               | D3  |     2.6 | Trine                | D3  |     0.6
 2016-10-22 | home    | Adrian               | D3  |     1.5 | Kalamazoo            | D3  |     0.7
 2016-10-25 | home    | Adrian               | D3  |     2.8 | Olivet               | D3  |     0.9
 2016-10-14 | home    | Air Force            | D1  |     1.7 | Utah Valley          | D1  |     1.4
 2016-10-16 | home    | Air Force            | D1  |     2.4 | CSU Bakersfield      | D1  |     1.1
 2016-10-23 | home    | Air Force            | D1  |     3.2 | UMKC                 | D1  |     0.8
 2016-10-27 | home    | Air Force            | D1  |     2.6 | San Jose St.         | D1  |     1.1
 2016-11-05 | home    | Air Force            | D1  |     2.0 | Seattle              | D1  |     1.3
 2016-10-07 | home    | Akron                | D1  |     1.2 | Buffalo              | D1  |     1.1
