BEGIN
 year | div | div | won  | lost | tied | count 
------+-----+-----+------+------+------+-------
 2012 |   1 |   1 | 1696 | 1696 |  478 |  3870
 2012 |   1 |   2 |    7 |    2 |    0 |     9
 2012 |   1 |   3 |    2 |    0 |    0 |     2
 2012 |   2 |   2 | 1436 | 1436 |  272 |  3144
 2012 |   2 |   3 |   23 |    6 |    4 |    33
 2012 |   3 |   3 | 3232 | 3232 |  554 |  7018
 2013 |   1 |   1 | 1689 | 1689 |  470 |  3848
 2013 |   1 |   2 |    6 |    0 |    0 |     6
 2013 |   1 |   3 |    1 |    0 |    0 |     1
 2013 |   2 |   2 | 1471 | 1471 |  342 |  3284
 2013 |   2 |   3 |   24 |   13 |    1 |    38
 2013 |   3 |   3 | 3261 | 3261 |  632 |  7154
 2014 |   1 |   1 | 1651 | 1651 |  534 |  3836
 2014 |   1 |   2 |   12 |    6 |    3 |    21
 2014 |   2 |   2 | 1569 | 1569 |  340 |  3478
 2014 |   2 |   3 |   15 |   11 |    2 |    28
 2014 |   3 |   3 | 3297 | 3297 |  668 |  7262
 2015 |   1 |   1 | 1665 | 1665 |  554 |  3884
 2015 |   1 |   2 |    8 |    0 |    1 |     9
 2015 |   1 |   3 |    2 |    0 |    0 |     2
 2015 |   2 |   2 | 1604 | 1604 |  296 |  3504
 2015 |   2 |   3 |   10 |    2 |    2 |    14
 2015 |   3 |   3 | 3377 | 3377 |  634 |  7388
 2016 |   1 |   1 | 1672 | 1672 |  516 |  3860
 2016 |   1 |   2 |    4 |    1 |    0 |     5
 2016 |   1 |   3 |    1 |    0 |    0 |     1
 2016 |   2 |   2 | 1669 | 1669 |  316 |  3654
 2016 |   2 |   3 |   11 |    3 |    0 |    14
 2016 |   3 |   3 | 3362 | 3362 |  630 |  7354
 2017 |   1 |   1 | 1676 | 1676 |  500 |  3852
 2017 |   1 |   2 |    5 |    0 |    0 |     5
 2017 |   1 |   3 |    2 |    0 |    0 |     2
 2017 |   2 |   2 | 1698 | 1698 |  338 |  3734
 2017 |   2 |   3 |    9 |    1 |    2 |    12
 2017 |   3 |   3 | 3411 | 3411 |  680 |  7502
 2018 |   1 |   1 | 1648 | 1648 |  492 |  3788
 2018 |   1 |   2 |    1 |    0 |    0 |     1
 2018 |   1 |   3 |    2 |    0 |    0 |     2
 2018 |   2 |   2 | 1652 | 1652 |  352 |  3656
 2018 |   2 |   3 |    6 |    3 |    1 |    10
 2018 |   3 |   3 | 3390 | 3390 |  664 |  7444
 2019 |   1 |   1 | 1597 | 1597 |  452 |  3646
 2019 |   1 |   2 |    4 |    0 |    0 |     4
 2019 |   1 |   3 |    3 |    0 |    0 |     3
 2019 |   2 |   2 | 1640 | 1640 |  346 |  3626
 2019 |   2 |   3 |   20 |    2 |    2 |    24
 2019 |   3 |   3 | 3320 | 3320 |  610 |  7250
 2020 |   1 |   1 |  886 |  886 |  218 |  1990
 2020 |   1 |   2 |    1 |    0 |    0 |     1
 2020 |   2 |   2 |  786 |  786 |  152 |  1724
 2020 |   2 |   3 |   17 |    5 |    3 |    25
 2020 |   3 |   3 | 1935 | 1935 |  384 |  4254
(52 rows)

COMMIT
