date,site,team,div,t_score,opp,div,o_score
2016-09-20,home,Academy of Art,D2,1.3,BYU-Hawaii,D2,2.2
2016-09-16,home,Adams St.,D2,1.1,Regis (CO),D2,1.6
2016-09-18,home,Adams St.,D2,2.6,South Dakota Mines,D2,1.3
2016-09-21,home,Adams St.,D2,3.3,Fort Lewis,D2,1.8
2016-09-17,home,Adelphi,D2,1.4,Le Moyne,D2,0.8
2016-09-21,home,Adelphi,D2,2.4,Assumption,D2,0.9
2016-09-21,home,Adrian,D3,2.4,Albion,D3,1.7
2016-09-17,home,Ala.-Huntsville,D2,2.2,King (TN),D2,1.6
2016-09-15,home,Alderson Broaddus,D2,1.5,Cedarville,D2,1.0
2016-09-17,home,Alderson Broaddus,D2,1.7,Ohio Valley,D2,1.2
2016-09-17,home,Alfred,D3,1.7,Nazareth,D3,0.8
2016-09-21,home,Alfred,D3,1.6,King's (PA),D3,0.7
2016-09-20,home,Alfred St.,D3,0.8,Buffalo St.,D3,3.0
2016-09-17,home,Allegheny,D3,1.2,Penn St.-Behrend,D3,1.2
2016-09-17,home,Alma,D3,1.0,Kalamazoo,D3,0.5
2016-09-17,home,Alvernia,D3,1.2,Cabrini,D3,1.3
2016-09-17,home,Anderson (SC),D2,1.0,Wingate,D2,1.3
2016-09-21,home,Anderson (SC),D2,1.5,Brevard,D2,1.1
2016-09-20,home,Appalachian St.,D1,1.1,Winthrop,D1,1.1
2016-09-17,home,Assumption,D2,2.8,Bentley,D2,1.3
2016-09-19,home,Augsburg,D3,2.0,Northwestern-St.Paul,D3,1.6
2016-09-19,home,Aurora,D3,2.3,Wheaton (IL),D3,1.8
2016-09-20,home,Austin,D3,1.4,UC Santa Cruz,D3,0.8
2016-09-17,home,Babson,D3,0.7,Coast Guard,D3,1.0
2016-09-21,home,Babson,D3,1.2,Lesley,D3,0.8
2016-09-17,home,Baldwin Wallace,D3,1.6,Bluffton,D3,1.4
2016-09-21,home,Baldwin Wallace,D3,1.2,Oberlin,D3,3.1
2016-09-17,home,Barton,D2,2.9,North Greenville,D2,1.2
2016-09-17,home,Baruch,D3,1.3,Medgar Evers,D3,1.4
2016-09-21,home,Baruch,D3,1.2,Hunter,D3,1.3
2016-09-17,home,Belmont,D1,1.1,Valparaiso,D1,1.9
2016-09-20,home,Belmont Abbey,D2,1.3,Chowan,D2,1.3
2016-09-18,home,Beloit,D3,1.7,Lake Forest,D3,1.6
2016-09-21,home,Benedictine (IL),D3,1.5,Wheaton (IL),D3,0.7
2016-09-21,home,Bentley,D2,1.5,Merrimack,D2,2.1
2016-09-16,home,Berry,D3,1.6,Emory,D3,1.3
2016-09-17,home,Berry,D3,0.9,Lynchburg,D3,1.6
2016-09-17,home,Bethany Lutheran,D3,0.8,North Central (MN),D3,2.4
2016-09-21,home,Bethany Lutheran,D3,1.2,Martin Luther,D3,1.9
2016-09-16,home,Bethany (WV),D3,1.4,La Roche,D3,1.2
2016-09-18,home,Bethel (MN),D3,3.0,Finlandia,D3,0.9
2016-09-18,home,Binghamton,D1,1.3,Columbia,D1,1.3
2016-09-21,home,Bloomfield,D2,2.3,Caldwell,D2,1.9
2016-09-17,home,Bloomsburg,D2,1.1,Seton Hill,D2,1.2
2016-09-20,home,Bluffton,D3,1.3,Wittenberg,D3,1.7
2016-09-20,home,Boston College,D1,2.0,Albany (NY),D1,0.8
2016-09-20,home,Boston U.,D1,1.4,Brown,D1,1.1
2016-09-20,home,Bowdoin,D3,1.5,Bates,D3,0.9
2016-09-20,home,Bowling Green,D1,1.9,Dayton,D1,0.6
2016-09-17,home,Bradley,D1,1.4,Evansville,D1,1.4
2016-09-20,home,Bradley,D1,1.6,Western Ill.,D1,1.1
2016-09-17,home,Brevard,D2,1.9,Coker,D2,1.5
2016-09-17,home,Bridgewater St.,D3,2.5,MCLA,D3,1.1
