year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2014	11480	1	721	Air Force	-	TEAM	-	-	-	 	 	0	 	237	 	 	 	1	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
2014	11480	1	721	Air Force	-	Totals	-	-	-	18	14	50	268	240	2	21	 	 	 	1913:58	36	1.693	121	0.771	1	 	 	 	83	2	2	4
2014	11480	1	721	Air Force	-	Opponent Totals	-	-	-	36	33	105	355	268	2	35	 	 	 	1913:58	18	0.846	102	0.850	9	 	 	1	142	3	3	11
2014	11480	1	5	Akron	-	TEAM	-	-	-	1	 	2	 	244	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11480	1	5	Akron	-	Totals	-	-	-	33	29	95	428	244	1	23	 	 	 	2100:40	16	0.685	61	0.792	9	 	 	 	170	2	4	17
2014	11480	1	5	Akron	-	Opponent Totals	-	-	-	16	16	48	188	262	5	43	 	 	 	2100:40	33	1.414	131	0.799	4	 	 	 	75	1	2	4
2014	11480	1	14	Albany (NY)	-	TEAM	-	-	-	2	 	4	 	227	 	 	 	5	 	 	0	""	6	1.000	 	 	 	 	 	 	 	 
2014	11480	1	14	Albany (NY)	-	Totals	-	-	-	22	18	62	212	227	 	17	 	 	 	2017:17	27	1.205	107	0.799	3	 	 	3	82	 	 	6
2014	11480	1	14	Albany (NY)	-	Opponent Totals	-	-	-	27	21	75	304	234	1	22	 	 	 	2018:17	22	0.981	61	0.735	9	 	 	2	119	1	1	11
2014	11480	1	23	American	-	TEAM	-	-	-	 	 	0	 	219	 	1	 	3	 	 	0	""	5	1.000	 	 	 	 	 	 	 	 
2014	11480	1	23	American	-	Totals	-	-	-	23	24	70	253	229	4	32	 	 	 	1903:41	20	0.946	91	0.820	7	 	 	3	95	2	2	7
2014	11480	1	23	American	-	Opponent Totals	-	-	-	20	17	57	260	210	1	29	 	 	 	1903:41	23	1.087	79	0.775	7	 	 	 	97	3	4	8
2014	11480	1	27	Appalachian St.	-	TEAM	-	-	-	 	 	0	 	229	 	1	 	2	 	 	0	""	2	1.000	 	 	 	 	 	 	 	 
2014	11480	1	27	Appalachian St.	-	Totals	-	-	-	25	19	69	209	229	2	36	 	 	 	1782:56	27	1.363	74	0.733	2	 	 	 	100	 	1	4
2014	11480	1	27	Appalachian St.	-	Opponent Totals	-	-	-	27	22	76	238	250	3	37	 	 	 	1782:56	25	1.262	64	0.719	3	 	 	 	102	1	1	7
2014	11480	1	725	Army West Point	-	TEAM	-	-	-	 	 	0	 	250	 	 	 	3	 	 	0	""	3	1.000	 	 	 	 	 	 	 	 
2014	11480	1	725	Army West Point	-	Totals	-	-	-	25	21	71	229	262	 	34	 	 	 	1728:29	10	0.521	82	0.891	12	 	 	1	110	2	2	12
2014	11480	1	725	Army West Point	-	Opponent Totals	-	-	-	10	10	30	234	224	1	22	 	 	 	1728:29	25	1.302	79	0.760	3	 	 	 	108	1	1	3
2014	11480	1	14927	Belmont	-	TEAM	-	-	-	 	 	0	 	180	 	1	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11480	1	14927	Belmont	-	Totals	-	-	-	17	17	51	200	180	2	16	 	 	 	1666:36	23	1.242	72	0.758	5	 	 	 	85	 	 	6
2014	11480	1	14927	Belmont	-	Opponent Totals	-	-	-	23	19	65	225	191	 	19	 	 	 	1666:36	17	0.918	55	0.764	6	 	 	 	73	 	 	10
2014	11480	1	62	Binghamton	-	TEAM	-	-	-	 	 	0	 	205	 	1	 	2	 	 	0	""	2	1.000	 	 	 	 	 	 	 	 
2014	11480	1	62	Binghamton	-	Totals	-	-	-	14	12	40	163	205	1	29	 	 	 	1839:11	23	1.125	108	0.824	6	 	 	 	54	 	1	3
2014	11480	1	62	Binghamton	-	Opponent Totals	-	-	-	23	18	64	298	171	 	15	 	 	 	1840:18	14	0.685	55	0.797	9	 	 	 	135	4	4	11
2014	11480	1	67	Boston College	-	TEAM	-	-	-	2	 	4	 	212	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	1
2014	11480	1	67	Boston College	-	Totals	-	-	-	28	28	84	211	212	3	18	 	 	 	1690:46	29	1.544	58	0.667	1	 	 	 	73	1	1	7
2014	11480	1	67	Boston College	-	Opponent Totals	-	-	-	29	35	93	233	193	1	16	 	 	 	1690:46	28	1.490	70	0.714	4	 	 	 	100	2	3	9
2014	11480	1	68	Boston U.	-	TEAM	-	-	-	 	 	0	 	201	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11480	1	68	Boston U.	-	Totals	-	-	-	17	16	50	237	201	2	22	 	 	 	1577:15	20	1.141	84	0.808	6	 	 	 	96	2	4	6
2014	11480	1	68	Boston U.	-	Opponent Totals	-	-	-	20	24	64	248	207	2	25	 	 	 	1577:15	17	0.970	73	0.811	7	 	 	 	111	 	 	10
2014	11480	1	71	Bowling Green	-	TEAM	-	-	-	1	 	2	 	270	 	1	 	2	 	 	0	""	2	1.000	 	 	 	 	 	 	 	1
2014	11480	1	71	Bowling Green	-	Totals	-	-	-	25	25	75	342	270	1	15	 	 	 	1866:44	17	0.820	75	0.815	8	 	 	 	101	3	5	6
2014	11480	1	71	Bowling Green	-	Opponent Totals	-	-	-	17	15	49	246	216	2	8	 	 	 	1866:44	25	1.205	113	0.819	8	 	 	 	66	1	1	7
2014	11480	1	72	Bradley	-	TEAM	-	-	-	1	 	2	 	231	 	1	 	3	 	 	0	""	3	1.000	 	 	 	 	 	 	 	1
2014	11480	1	72	Bradley	-	Totals	-	-	-	37	38	112	417	231	 	13	 	 	 	2157:52	28	1.168	117	0.807	10	 	 	 	148	2	2	14
2014	11480	1	72	Bradley	-	Opponent Totals	-	-	-	28	26	82	359	242	1	20	 	 	 	2157:52	37	1.543	109	0.747	2	 	 	 	103	1	1	7
2014	11480	1	80	Brown	-	TEAM	-	-	-	 	 	0	 	175	 	 	 	1	 	 	0	""	 	""	 	 	 	 	 	 	 	 
2014	11480	1	80	Brown	-	Totals	-	-	-	24	24	72	185	175	 	11	 	 	 	1627:38	21	1.161	83	0.798	4	 	 	 	75	1	1	7
2014	11480	1	80	Brown	-	Opponent Totals	-	-	-	21	21	63	257	172	 	13	 	 	 	1627:38	24	1.327	64	0.727	4	 	 	 	89	 	1	7
2014	11480	1	81	Bryant	-	TEAM	-	-	-	1	 	2	 	224	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2014	11480	1	81	Bryant	-	Totals	-	-	-	24	21	69	199	232	 	15	 	 	 	1693:31	24	1.275	87	0.784	5	 	 	 	84	1	2	7
2014	11480	1	81	Bryant	-	Opponent Totals	-	-	-	24	20	68	243	238	1	23	 	 	 	1693:31	24	1.275	74	0.755	4	 	 	 	83	 	 	9
2014	11480	1	83	Bucknell	-	TEAM	-	-	-	 	 	0	 	103	 	1	 	3	 	 	0	""	3	1.000	 	 	 	 	 	 	 	 
2014	11480	1	83	Bucknell	-	Totals	-	-	-	30	24	84	299	214	1	14	 	 	 	1841:27	15	0.733	87	0.853	10	 	 	 	90	4	4	13
2014	11480	1	83	Bucknell	-	Opponent Totals	-	-	-	15	11	41	228	187	3	18	 	 	 	1841:27	30	1.466	88	0.746	3	 	 	 	108	 	1	6
2014	11480	1	86	Buffalo	-	TEAM	-	-	-	 	 	0	 	232	 	 	 	3	 	 	0	""	4	1.000	 	 	 	 	 	 	 	 
2014	11480	1	86	Buffalo	-	Totals	-	-	-	15	11	41	194	278	1	23	 	 	 	1717:54	28	1.467	96	0.774	2	 	 	 	81	2	2	3
2014	11480	1	86	Buffalo	-	Opponent Totals	-	-	-	28	27	83	279	213	1	17	 	 	 	1717:54	15	0.786	66	0.815	9	 	 	 	115	2	2	11
2014	11480	1	87	Butler	-	TEAM	-	-	-	 	 	0	 	174	 	 	 	2	 	 	0	""	2	1.000	 	 	 	 	 	 	 	 
2014	11480	1	87	Butler	-	Totals	-	-	-	33	31	97	246	174	1	18	 	 	 	1856:36	28	1.357	100	0.781	6	 	 	 	81	2	3	11
2014	11480	1	87	Butler	-	Opponent Totals	-	-	-	28	29	85	284	195	1	16	 	 	 	1856:36	33	1.600	69	0.676	3	 	 	 	107	 	1	8
2014	11480	1	94	CSU Bakersfield	-	TEAM	-	-	-	 	 	0	 	183	 	2	 	4	 	 	0	""	4	1.000	 	 	 	 	 	 	 	 
2014	11480	1	94	CSU Bakersfield	-	Totals	-	-	-	29	26	84	314	183	 	26	 	 	 	1858:27	36	1.743	100	0.735	5	 	 	 	119	1	1	9
2014	11480	1	94	CSU Bakersfield	-	Opponent Totals	-	-	-	36	28	100	325	229	5	21	 	 	 	1858:27	29	1.404	111	0.793	5	 	 	 	100	4	6	9
2014	11480	1	101	CSUN	-	TEAM	-	-	-	 	 	0	 	303	 	1	 	4	 	 	0	""	2	1.000	 	 	 	 	 	 	 	 
2014	11480	1	101	CSUN	-	Totals	-	-	-	43	58	144	324	303	2	41	 	 	 	2110:57	24	1.023	75	0.758	6	 	 	 	110	3	3	15
