year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2017	12440	1	721	Air Force	19	1812082	Yarnell, Jacob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1812082	N/A	7	1	2	""	4	5	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	1	721	Air Force	4	1465070	Ward, Ryan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1465070	Sr	7	7	""	2	2	4	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	14	1465075	Duley, Cameron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1465075	Sr	7	7	1	1	3	1	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1	""	1	1
2017	12440	1	721	Air Force	18	1465077	Esparza, A.J.	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1465077	Sr	7	7	1	""	2	4	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	1	721	Air Force	21	1465080	Axhoj, Tucker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1465080	Sr	7	7	2	1	5	10	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	7	1692917	Bone, Tucker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692917	So	7	7	3	1	7	13	2	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	1	721	Air Force	9	1692920	Guerrero, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692920	So	7	0	""	1	1	6	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	2	1692921	Parker, Klint	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692921	So	7	3	2	1	5	9	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	13	1692922	Dewing, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692922	So	7	6	2	4	8	13	1	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	1	721	Air Force	6	1735922	Martinez, Luis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1735922	So	7	7	""	2	2	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	20	1740275	Marton, Jaric	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1740275	Jr	7	1	""	2	2	3	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	10	1692918	Samayoa, Abinadi	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692918	Jr	6	4	2	""	4	5	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	11	1591891	Robinson, Hunter	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1591891	Sr	6	3	""	""	0	""	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	3	1591890	Pujats, Trey	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1591890	Jr	6	6	1	""	2	2	1	""	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	23	1591893	Wendt, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1591893	Jr	5	4	""	1	1	1	""	""	1	""	5	4	25,177	9	1.930	25	0.735	""	2	2	1	""	""	""	""
2017	12440	1	721	Air Force	26	1800743	Aboussaud, Munear	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1800743	Fr	5	0	1	""	2	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	15	1616896	Conrad, Tristan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1616896	Jr	5	1	""	""	0	""	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	17	1800741	Strever, Isaac	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1800741	Jr	5	3	""	""	0	2	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	5	1692916	Chacon, Oscar	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692916	Jr	4	0	""	""	0	""	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	16	1701996	Sims, John	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1701996	Jr	4	0	1	""	2	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	25	1591894	Hernandez, Nestor	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1591894	Jr	3	0	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	1	1465069	Schenk, Jake	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1465069	Sr	3	3	""	""	0	""	""	""	""	""	3	3	13,500	2	0.800	5	0.714	2	1	""	""	""	""	""	""
2017	12440	1	721	Air Force	8	1701365	Moxley, Zane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1701365	So	3	0	""	""	0	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	1	721	Air Force	12	1841329	Livingston, Grant	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1841329	N/A	1	0	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
