year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	1	721	Air Force	15	1914634	Ortiz, Joe	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1914634	So	22	""	1	1	3	21	5	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	721	Air Force	7	1692917	Bone, Tucker	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1692917	Sr	22	""	13	6	32	59	33	5	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	5
2019	14060	1	721	Air Force	10	1692919	Han, Danny	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1692919	Sr	22	""	4	5	13	36	14	2	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	2
2019	14060	1	721	Air Force	2	1692921	Parker, Klint	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1692921	Sr	22	""	8	4	20	42	23	5	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	721	Air Force	3	1692922	Dewing, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1692922	Sr	22	""	12	5	29	45	27	4	""	3	""	""	""	""	0	""	""	""	""	""	""	""	1	2	""	4
2019	14060	1	721	Air Force	6	1735922	Martinez, Luis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1735922	Sr	22	""	1	7	9	20	9	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	1	721	Air Force	20	1800742	Sims, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1800742	Sr	22	""	3	1	7	29	10	4	""	1	""	""	""	""	0	""	""	""	""	""	""	""	1	1	""	1
2019	14060	1	721	Air Force	21	1800744	Blessing, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1800744	Jr	22	""	""	1	1	2	""	2	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	721	Air Force	1	1800745	Seazzu, Andrea	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1800745	Jr	22	""	""	""	0	""	""	""	""	""	""	22	22	1942:34	16	0.741	60	0.789	6	17	5	""	0	0	""	""
2019	14060	1	721	Air Force	11	1914632	Uribe, Aaron	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1914632	So	22	""	5	1	11	18	10	1	""	6	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	1	721	Air Force	9	1692920	Guerrero, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1692920	Sr	21	""	1	3	5	25	5	2	1	1	""	""	""	""	0	""	""	""	""	""	""	""	1	1	""	""
2019	14060	1	721	Air Force	18	1800747	Louthan, David	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1800747	Sr	20	""	2	""	4	8	3	2	1	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	2
2019	14060	1	721	Air Force	8	1701365	Moxley, Zane	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1701365	Sr	18	""	""	""	0	11	5	""	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	721	Air Force	19	2035902	D'Emidio, James	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035902	Fr	16	""	1	5	7	5	3	1	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	721	Air Force	4	2035930	Sole, Max	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2035930	So	14	""	""	""	0	1	""	""	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
