year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	2	30093	AUM	23	1932153	Smarason, Sverrir	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932153	Jr	17	""	1	2	4	12	5	4	""	3	""	""	""	""	0	""	""	""	""	""	""	""	1	1	""	""
2019	14060	2	30093	AUM	19	2040256	Meyerhoff, Rafael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040256	Fr	17	""	1	""	2	9	4	10	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	2	30093	AUM	25	1932155	Sun Chee Fore, Austin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932155	So	17	""	1	1	3	6	3	3	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	11	1795721	Brunelle, Cedarian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1795721	Sr	16	""	1	""	2	9	1	4	1	4	""	2	2	180:00	4	2.000	5	0.556	""	1	1	""	0	0	""	""
2019	14060	2	30093	AUM	6	1795712	Gipner, Asher	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1795712	Jr	16	""	2	""	4	10	5	5	""	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	20	2075692	Penner, Toran	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2075692	N/A	16	""	""	""	0	1	1	4	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	5	1932129	Wagner, Alexander	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932129	So	16	""	""	2	2	5	2	5	1	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	12	1932132	Louviere, Berkly	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1932132	So	15	""	""	2	2	10	2	1	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	2	30093	AUM	33	2040272	Kraus, Alexander	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040272	Fr	15	""	""	""	0	""	""	""	""	""	""	15	15	1418:02	33	2.094	93	0.738	1	3	11	""	0	0	""	""
2019	14060	2	30093	AUM	4	1731661	Costa, Alexandro	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1731661	Sr	15	""	""	""	0	4	""	2	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
