year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2017	12440	3	4	Adrian	31	1821944	Brown, Spencer	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821944	Fr	19	19	""	""	0	""	""	""	""	""	19	17	1718:11	17	0.890	80	0.825	8	11	7	""	""	""	""	""
2017	12440	3	4	Adrian	11	1692519	Roller, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692519	So	19	19	""	3	3	9	9	""	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	8	1478919	Proctor, Mark	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1478919	Sr	19	19	2	""	4	20	9	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	3	4	Adrian	9	1580063	Cain, Sean	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1580063	Jr	19	19	1	1	3	14	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	22	1580069	Shushtari, Shayan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1580069	Jr	19	8	1	""	2	10	3	""	1	""	""	""	""	""	""	""	""	""	""	""	""	1	""	1	1
2017	12440	3	4	Adrian	3	1692507	Davis, Tad	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692507	So	19	19	5	2	12	25	7	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	4	1692508	Stanhope, Chris	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692508	So	19	19	2	1	5	19	8	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	3	4	Adrian	7	1692527	Bonkowski, Dolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692527	So	19	19	4	2	10	27	9	""	1	""	""	""	""	""	""	""	""	""	""	""	""	1	""	1	1
2017	12440	3	4	Adrian	13	1821934	Metzger, Mitchell	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821934	Fr	19	12	1	""	2	13	5	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	3	4	Adrian	15	1821936	Combs, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821936	Fr	19	11	3	3	9	31	13	""	3	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	3	4	Adrian	21	1821938	Miller, Garret	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821938	Fr	19	7	1	5	7	23	7	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	19	1821937	Osorio, Mike	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821937	Fr	18	0	2	1	5	12	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	1
2017	12440	3	4	Adrian	12	1692516	Katona, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692516	So	18	17	7	2	16	39	10	""	1	""	""	""	""	""	""	""	""	""	""	""	""	1	""	1	4
2017	12440	3	4	Adrian	14	1821935	Rush, Dayton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821935	Fr	18	0	2	1	5	4	2	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	27	1821943	Koziol, Brendan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821943	Fr	17	16	""	""	0	3	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	5	1692509	Watkins, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692509	So	15	0	""	1	1	5	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	20	1478923	Boggs, Kyle	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1478923	Sr	14	0	1	""	2	5	3	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	18	1692522	Gensler, Wes	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692522	So	12	0	1	""	2	4	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	24	1821940	Gonzales, Noah	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821940	Fr	5	1	""	""	0	2	1	""	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	6	1692525	van Rooijen, Jasper	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692525	So	4	0	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	10	1692518	Gomes, Gabriel	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1692518	Jr	3	0	""	""	0	1	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	16	1478922	Thompson, Matt	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1478922	Sr	3	3	""	""	0	""	2	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	23	1821939	Squires, Brad	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821939	Fr	3	0	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2017	12440	3	4	Adrian	25	1821941	Deese, Tyler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1821941	Fr	1	0	""	""	0	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
