year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	games_played	games_started
2017	12440	2	30093	AUM	14	1795719.0	Arriaga, Alexis	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795719.0	Fr	18	12
2017	12440	2	30093	AUM	00	1795708.0	Bergengren, Jacob	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795708.0	Fr	12	9
2017	12440	2	30093	AUM	23	1795726.0	Bjornsby, Richard	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795726.0	Fr	3	1
2017	12440	2	30093	AUM	8	1795714.0	Bozesan, Nino	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795714.0	Jr	18	12
2017	12440	2	30093	AUM	16	1795721.0	Brunelle, Cedarian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795721.0	So	17	7
2017	12440	2	30093	AUM	4	1731661.0	Costa, Alexandro	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1731661.0	So	19	16
2017	12440	2	30093	AUM	11	1795717.0	Davis, Nick	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795717.0	So	17	12
2017	12440	2	30093	AUM	20	1795723.0	Dukes, Grant	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795723.0	Sr	6	2
2017	12440	2	30093	AUM	17	1795722.0	Fargarson, Caleb	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795722.0	Fr	10	5
2017	12440	2	30093	AUM	6	1795712.0	Gipner, Asher	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795712.0	Fr	17	5
2017	12440	2	30093	AUM	12	1731665.0	Harwell, Alan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1731665.0	Sr	18	16
2017	12440	2	30093	AUM	7	1795713.0	Hettler, Michael	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795713.0	Jr	16	16
2017	12440	2	30093	AUM	1	1731659.0	Ingram, Stephen	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1731659.0	Sr	12	10
2017	12440	2	30093	AUM	15	1795720.0	Kelly, Brandon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795720.0	Fr	13	7
2017	12440	2	30093	AUM	13	1795718.0	McIntosh, Sammy	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795718.0	Fr	16	8
2017	12440	2	30093	AUM	10	1795716.0	Schieving, Tiuri	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795716.0	Fr	1	0
2017	12440	2	30093	AUM	21	1795724.0	Steers, Eddie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795724.0	Fr	7	1
2017	12440	2	30093	AUM	2	1795709.0	Thomason, Chandler	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795709.0	Fr	18	16
2017	12440	2	30093	AUM	5	1795711.0	Thomason, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795711.0	Fr	17	13
2017	12440	2	30093	AUM	9	1795715.0	Van Rheeden, Simon	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795715.0	Fr	19	12
2017	12440	2	30093	AUM	22	1795725.0	Wright, Braxton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795725.0	Fr	3	0
2017	12440	2	30093	AUM	3	1795710.0	York, William	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795710.0	So	19	16
2017	12440	2	30093	AUM	24	1795727.0	Young, Christian	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1795727.0	Jr	17	13
2017	12440	2	30123	Academy of Art	18	1829916.0	Deans, Andrew	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=12440&stats_player_seq=1829916.0	Fr	18	7
