year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2015	11701	3	4	Adrian	-	TEAM	-	-	-	1	 	2	 	137	 	1	 	3	 	 	0	""	3	1.000	 	 	 	 	 	 	 	 
2015	11701	3	4	Adrian	-	Totals	-	-	-	17	12	46	162	156	 	11	 	 	 	1751:20	48	2.467	115	0.706	2	 	 	 	77	 	 	 
2015	11701	3	4	Adrian	-	Opponent Totals	-	-	-	48	38	134	348	173	 	9	 	 	 	1751:20	17	0.874	55	0.764	7	 	 	 	129	3	3	 
2015	11701	3	2798	Albertus Magnus	-	TEAM	-	-	-	 	 	0	 	219	 	 	 	2	 	 	0	""	 	""	 	 	 	 	 	 	 	 
2015	11701	3	2798	Albertus Magnus	-	Totals	-	-	-	48	42	138	384	245	1	20	 	 	 	1859:54	26	1.258	85	0.766	8	 	 	 	116	2	3	 
2015	11701	3	2798	Albertus Magnus	-	Opponent Totals	-	-	-	26	21	73	244	254	3	27	 	 	 	1859:54	48	2.323	135	0.738	4	 	 	 	106	 	 	 
2015	11701	3	15	Albion	-	TEAM	-	-	-	1	 	2	 	115	 	 	 	2	 	 	0	""	2	1.000	 	 	 	 	 	 	 	 
2015	11701	3	15	Albion	-	Totals	-	-	-	32	21	85	200	202	1	23	 	 	 	1719:49	30	1.570	102	0.773	2	 	 	 	87	1	2	 
2015	11701	3	15	Albion	-	Opponent Totals	-	-	-	30	21	81	255	191	2	20	 	 	 	1719:49	31	1.622	87	0.737	7	 	 	 	116	8	8	 
2015	11701	3	16	Albright	-	TEAM	-	-	-	1	 	2	 	227	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	1
2015	11701	3	16	Albright	-	Totals	-	-	-	22	13	57	214	227	 	18	 	 	 	1729:09	46	2.394	75	0.620	4	 	 	 	84	 	 	 
2015	11701	3	16	Albright	-	Opponent Totals	-	-	-	46	36	128	272	179	 	14	 	 	 	1729:09	22	1.145	76	0.776	8	 	 	1	108	2	2	 
2015	11701	3	18	Alfred	-	TEAM	-	-	-	1	 	2	 	260	 	4	 	2	 	 	0	""	 	""	 	 	 	 	 	 	 	 
2015	11701	3	18	Alfred	-	Totals	-	-	-	36	18	90	310	272	 	38	 	 	 	1963:41	35	1.604	89	0.718	6	 	 	 	106	4	5	 
2015	11701	3	18	Alfred	-	Opponent Totals	-	-	-	35	26	96	240	300	4	42	 	 	 	1963:41	36	1.650	136	0.791	3	 	 	 	90	4	4	 
2015	11701	3	19	Allegheny	-	TEAM	-	-	-	2	 	4	 	239	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11701	3	19	Allegheny	-	Totals	-	-	-	29	21	79	211	242	1	23	 	 	 	1693:43	32	1.700	88	0.733	2	 	 	 	95	2	2	 
2015	11701	3	19	Allegheny	-	Opponent Totals	-	-	-	32	23	87	232	203	1	34	 	 	 	1693:43	29	1.541	68	0.701	4	 	 	 	98	 	 	 
2015	11701	3	21	Alma	-	TEAM	-	-	-	1	 	2	 	121	 	1	 	1	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
2015	11701	3	21	Alma	-	Totals	-	-	-	20	15	55	278	196	 	14	 	 	 	1780:31	23	1.163	71	0.755	6	 	 	2	104	3	3	 
2015	11701	3	21	Alma	-	Opponent Totals	-	-	-	23	19	65	271	199	 	23	 	 	 	1780:31	20	1.011	77	0.794	8	 	 	 	95	1	1	 
2015	11701	3	938	Alvernia	-	TEAM	-	-	-	 	 	0	 	285	 	3	 	2	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
2015	11701	3	938	Alvernia	-	Totals	-	-	-	31	26	88	268	285	1	21	 	 	 	2172:16	21	0.870	86	0.804	8	 	 	 	113	2	2	 
2015	11701	3	938	Alvernia	-	Opponent Totals	-	-	-	21	16	58	210	266	 	21	 	 	 	2172:16	31	1.284	98	0.760	6	 	 	 	75	 	 	 
2015	11701	3	24	Amherst	-	TEAM	-	-	-	 	 	0	 	287	 	3	 	1	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
2015	11701	3	24	Amherst	-	Totals	-	-	-	35	33	103	395	339	4	30	 	 	 	2021:14	16	0.712	58	0.784	10	 	 	 	150	2	2	 
2015	11701	3	24	Amherst	-	Opponent Totals	-	-	-	16	10	42	186	333	2	30	 	 	 	2021:14	35	1.558	145	0.806	2	 	 	 	118	 	 	 
2015	11701	3	939	Anderson (IN)	-	TEAM	-	-	-	1	 	2	 	75	 	1	 	3	 	 	0	""	3	1.000	 	 	 	 	 	 	 	 
2015	11701	3	939	Anderson (IN)	-	Totals	-	-	-	25	26	76	305	160	 	13	 	 	 	1826:17	38	1.873	81	0.681	9	 	 	 	100	1	1	 
2015	11701	3	939	Anderson (IN)	-	Opponent Totals	-	-	-	38	32	108	256	134	1	12	 	 	 	1781:17	25	1.263	122	0.830	7	 	 	1	78	2	3	 
2015	11701	3	26	Anna Maria	-	TEAM	-	-	-	 	 	0	 	167	2	2	 	3	 	 	0	""	3	1.000	 	 	 	 	 	 	 	 
2015	11701	3	26	Anna Maria	-	Totals	-	-	-	19	10	48	212	173	3	20	 	 	 	1451:53	39	2.418	111	0.740	1	 	 	 	60	1	1	 
2015	11701	3	26	Anna Maria	-	Opponent Totals	-	-	-	39	29	107	326	200	1	19	 	 	 	1451:53	18	1.116	77	0.811	8	 	 	 	125	1	2	 
2015	11701	3	966	Arcadia	-	TEAM	-	-	-	 	 	0	 	166	 	 	 	1	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
