year	year_id	division_id	team_id	team_name	jersey_number	player_id	player_name	player_url	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	3	4	Adrian	2	1821943	Koziol, Brendan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1821943	Jr	17	""	""	""	0	7	""	5	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	4	Adrian	0	1821944	Brown, Spencer	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1821944	Jr	17	""	""	""	0	""	""	1	""	2	""	17	17	1461:33	29	1.786	69	0.704	5	8	8	""	0	0	""	""
2019	14060	3	4	Adrian	10	1821938	Miller, Garret	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1821938	Jr	17	""	3	4	10	43	15	11	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	2
2019	14060	3	4	Adrian	18	2040392	Perrine, Grant	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040392	Fr	17	""	2	1	5	9	4	10	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	3	4	Adrian	21	1927392	Tobin, Justin	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1927392	So	17	""	1	1	3	5	2	5	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	4	Adrian	7	1692527	Bonkowski, Dolan	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1692527	Sr	17	""	2	2	6	6	4	11	""	3	""	""	""	""	0	""	""	""	""	""	""	""	1	1	""	2
2019	14060	3	4	Adrian	20	2040373	Precious, Robbie	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=2040373	Fr	17	""	""	1	1	3	1	4	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	4	Adrian	6	1821936	Combs, Zach	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1821936	Jr	16	""	1	""	2	5	3	4	""	3	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	4	Adrian	13	1821935	Rush, Dayton	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1821935	Jr	16	""	3	""	6	16	7	9	""	7	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	3	4	Adrian	3	1692507	Davis, Tad	http://stats.ncaa.org/player/index?game_sport_year_ctl_id=14060&stats_player_seq=1692507	Sr	16	""	5	3	13	20	9	4	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	2
