year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2016	12241	3	4	Adrian	-	TEAM	-	-	-	""	""	0	""	96	""	""	""	2	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2016	12241	3	4	Adrian	-	Totals	-	-	-	20	18	58	202	163	""	13	""	""	""	106,632	41	2.076	108	0.725	3	""	""	2	""	90	1	""
2016	12241	3	4	Adrian	-	Opponent Totals	-	-	-	41	35	117	367	184	""	18	""	""	""	106,632	20	1.013	67	0.770	7	""	""	3	""	107	""	""
2016	12241	3	2798	Albertus Magnus	-	TEAM	-	-	-	""	""	0	""	240	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	""	""	""	""
2016	12241	3	2798	Albertus Magnus	-	Totals	-	-	-	26	15	67	318	264	""	23	""	""	""	105,570	23	1.176	85	0.787	5	""	""	1	""	95	2	""
2016	12241	3	2798	Albertus Magnus	-	Opponent Totals	-	-	-	23	17	63	285	255	""	30	""	""	""	105,570	26	1.330	104	0.800	5	""	""	""	""	106	""	""
2016	12241	3	15	Albion	-	TEAM	-	-	-	""	""	0	""	168	""	""	""	1	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2016	12241	3	15	Albion	-	Totals	-	-	-	24	19	67	222	242	1	8	""	""	""	105,992	43	2.191	100	0.699	2	""	""	3	1	70	1	""
2016	12241	3	15	Albion	-	Opponent Totals	-	-	-	43	30	116	325	161	2	20	""	""	""	105,992	24	1.223	75	0.758	8	""	""	3	3	122	3	""
2016	12241	3	16	Albright	-	TEAM	-	-	-	""	""	0	""	176	""	""	""	2	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2016	12241	3	16	Albright	-	Totals	-	-	-	11	7	29	171	176	2	25	""	""	""	96,459	55	3.079	93	0.628	1	""	""	""	""	93	""	""
2016	12241	3	16	Albright	-	Opponent Totals	-	-	-	55	38	148	288	157	""	14	""	""	""	96,459	11	0.616	57	0.838	11	""	""	""	3	100	4	""
2016	12241	3	18	Alfred	-	TEAM	-	-	-	1	""	2	""	246	""	3	""	10	""	""	0	""	7	1.000	""	""	""	""	""	""	""	1
2016	12241	3	18	Alfred	-	Totals	-	-	-	45	30	120	400	246	""	30	""	""	""	101,565	20	1.063	80	0.800	9	""	""	4	5	151	5	""
2016	12241	3	18	Alfred	-	Opponent Totals	-	-	-	20	13	53	208	267	5	36	""	""	""	101,565	45	2.393	157	0.777	1	""	""	3	2	60	5	""
