sport_code	year	division
MSO	2015	1
MSO	2015	2
MSO	2015	3
MSO	2014	1
MSO	2014	2
MSO	2014	3
MSO	2013	1
MSO	2013	2
MSO	2013	3
MSO	2012	1
MSO	2012	2
MSO	2012	3
MSO	2011	1
