year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	3	4	Adrian	-	TEAM	-	-	-	""	""	0	""	""	66	""	2	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	4	Adrian	-	Totals	-	-	-	31	19	81	218	96	181	1	34	""	""	""	1514:45	32	1.901	72	0.692	5	""	""	""	5	5	64	8
2019	14060	3	4	Adrian	-	Opponent Totals	-	-	-	32	25	89	245	104	209	1	11	""	""	""	1559:45	31	1.789	65	0.677	4	""	""	""	2	4	89	8
2019	14060	3	2798	Albertus Magnus	-	TEAM	-	-	-	""	""	0	""	""	141	""	""	""	1	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	2798	Albertus Magnus	-	Totals	-	-	-	26	14	66	189	99	192	""	13	""	""	""	1630:16	41	2.263	137	0.770	2	""	""	4	4	6	76	6
2019	14060	3	2798	Albertus Magnus	-	Opponent Totals	-	-	-	41	27	109	362	181	192	1	22	""	""	""	1628:57	26	1.437	72	0.735	4	""	""	1	4	4	111	6
2019	14060	3	15	Albion	-	TEAM	-	-	-	""	""	0	""	""	68	""	4	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	15	Albion	-	Totals	-	-	-	26	21	73	210	97	196	1	28	""	""	""	1551:20	24	1.392	56	0.700	4	""	""	""	1	1	78	6
2019	14060	3	15	Albion	-	Opponent Totals	-	-	-	24	15	63	172	80	151	4	24	""	""	""	1551:20	26	1.508	71	0.732	4	""	""	1	2	2	69	6
2019	14060	3	16	Albright	-	TEAM	-	-	-	""	""	0	""	""	221	""	1	""	3	""	""	0	""	2	1.000	""	""	""	1	0	0	""	""
2019	14060	3	16	Albright	-	Totals	-	-	-	19	10	48	155	81	221	""	18	""	""	""	1590:22	43	2.433	112	0.723	3	""	""	1	3	4	63	3
2019	14060	3	16	Albright	-	Opponent Totals	-	-	-	43	30	116	294	155	187	""	28	""	""	""	1590:22	19	1.075	62	0.765	8	""	""	""	3	5	93	10
2019	14060	3	18	Alfred	-	TEAM	-	-	-	1	""	2	""	1	191	1	1	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	3	18	Alfred	-	Totals	-	-	-	24	13	61	207	85	202	2	29	""	""	""	1745:44	55	2.835	111	0.669	3	""	""	""	5	11	60	6
2019	14060	3	18	Alfred	-	Opponent Totals	-	-	-	55	40	150	340	166	240	""	25	""	""	""	1745:44	24	1.237	61	0.718	5	""	""	""	2	4	112	13
2019	14060	3	30170	Alfred St.	-	TEAM	-	-	-	1	""	2	""	1	166	""	1	""	5	""	""	0	""	8	1.000	""	""	""	""	0	0	""	""
2019	14060	3	30170	Alfred St.	-	Totals	-	-	-	31	24	86	245	117	189	2	25	""	""	""	1570:28	41	2.350	99	0.707	1	""	""	""	2	2	88	5
2019	14060	3	30170	Alfred St.	-	Opponent Totals	-	-	-	41	34	116	256	128	203	1	19	""	""	""	1570:28	31	1.777	99	0.762	5	""	""	2	3	4	92	10
2019	14060	3	19	Allegheny	-	TEAM	-	-	-	""	""	0	""	""	151	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	19	Allegheny	-	Totals	-	-	-	26	17	69	235	104	152	2	14	""	""	""	1695:46	38	2.017	91	0.705	4	""	""	""	2	2	102	6
2019	14060	3	19	Allegheny	-	Opponent Totals	-	-	-	38	25	101	298	129	172	1	10	""	""	""	1695:46	26	1.380	78	0.750	8	""	""	1	5	6	107	10
2019	14060	3	21	Alma	-	TEAM	-	-	-	""	""	0	""	""	126	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	21	Alma	-	Totals	-	-	-	16	12	44	166	72	139	""	11	""	""	""	1460:00	47	2.897	112	0.704	1	""	""	""	3	3	66	5
2019	14060	3	21	Alma	-	Opponent Totals	-	-	-	44	22	110	283	145	146	""	16	""	""	""	1280:00	13	0.914	46	0.780	5	""	""	1	3	5	71	10
2019	14060	3	938	Alvernia	-	TEAM	-	-	-	""	""	0	""	""	235	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	3	938	Alvernia	-	Totals	-	-	-	31	28	90	261	138	243	""	20	""	""	""	1962:08	36	1.651	89	0.712	4	""	""	1	1	2	94	7
2019	14060	3	938	Alvernia	-	Opponent Totals	-	-	-	36	24	96	275	126	211	1	21	""	""	""	1962:08	31	1.422	106	0.774	3	""	""	1	2	3	127	11
2019	14060	3	24	Amherst	-	TEAM	-	-	-	""	""	0	""	""	144	""	2	""	1	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	3	24	Amherst	-	Totals	-	-	-	42	36	120	408	175	268	""	27	""	""	""	1820:00	19	0.940	85	0.817	9	""	""	""	2	5	93	14
2019	14060	3	24	Amherst	-	Opponent Totals	-	-	-	19	16	54	227	104	235	1	12	""	""	""	1775:00	42	2.130	132	0.759	2	""	""	1	0	0	87	4
2019	14060	3	939	Anderson (IN)	-	TEAM	-	-	-	""	""	0	""	2	40	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
