year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	1	721	Air Force	-	TEAM	-	-	-	1	""	2	""	1	254	""	2	""	3	""	""	0	""	1	1.000	""	""	""	""	0	0	""	1
2019	14060	1	721	Air Force	-	Totals	-	-	-	54	43	151	342	158	286	2	29	""	""	""	2013:08	17	0.760	62	0.785	8	""	""	""	3	4	127	17
2019	14060	1	721	Air Force	-	Opponent Totals	-	-	-	17	10	44	225	79	266	2	51	""	""	""	2013:08	54	2.414	104	0.658	4	""	""	""	2	2	85	5
2019	14060	1	5	Akron	-	TEAM	-	-	-	""	""	0	""	""	284	""	""	""	4	""	""	0	""	4	1.000	""	""	""	""	0	0	""	""
2019	14060	1	5	Akron	-	Totals	-	-	-	49	56	154	327	130	295	1	35	""	""	""	2206:22	27	1.101	79	0.745	8	""	""	""	3	4	160	15
2019	14060	1	5	Akron	-	Opponent Totals	-	-	-	27	24	78	257	106	263	3	42	""	""	""	2206:22	49	1.999	81	0.623	4	""	""	""	2	3	100	7
2019	14060	1	14	Albany (NY)	-	TEAM	-	-	-	""	""	0	""	""	210	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	14	Albany (NY)	-	Totals	-	-	-	27	28	82	196	84	210	1	23	""	""	""	1664:49	23	1.243	57	0.713	3	""	""	""	3	4	89	8
2019	14060	1	14	Albany (NY)	-	Opponent Totals	-	-	-	23	26	72	185	80	182	1	19	""	""	""	1664:49	27	1.460	57	0.679	7	""	""	""	2	3	92	10
2019	14060	1	23	American	-	TEAM	-	-	-	""	""	0	""	""	232	1	1	""	4	""	""	0	""	5	1.000	""	""	""	""	0	0	""	""
2019	14060	1	23	American	-	Totals	-	-	-	25	14	64	206	85	251	5	38	""	""	""	1730:00	44	2.289	85	0.659	2	""	""	""	4	4	76	4
2019	14060	1	23	American	-	Opponent Totals	-	-	-	44	40	128	280	129	252	1	37	""	""	""	1730:00	25	1.301	60	0.706	2	""	""	""	5	6	91	9
2019	14060	1	27	Appalachian St.	-	TEAM	-	-	-	""	""	0	""	""	181	""	4	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	1	27	Appalachian St.	-	Totals	-	-	-	20	16	56	202	88	199	""	24	""	""	""	1600:00	15	0.844	49	0.766	7	""	""	""	0	0	108	8
2019	14060	1	27	Appalachian St.	-	Opponent Totals	-	-	-	15	11	41	165	64	196	2	30	""	""	""	1600:00	20	1.125	68	0.773	8	""	""	""	1	2	79	5
2019	14060	1	725	Army West Point	-	TEAM	-	-	-	""	""	0	""	""	256	""	1	""	5	""	""	0	""	6	1.000	""	""	""	""	0	0	""	""
2019	14060	1	725	Army West Point	-	Totals	-	-	-	25	19	69	195	80	256	""	15	""	""	""	1855:56	26	1.261	65	0.714	5	""	""	""	2	2	77	8
2019	14060	1	725	Army West Point	-	Opponent Totals	-	-	-	26	29	81	200	91	209	2	21	""	""	""	1855:56	25	1.212	55	0.688	6	""	""	""	2	3	106	10
2019	14060	1	14927	Belmont	-	TEAM	-	-	-	""	""	0	""	""	162	""	""	""	3	""	""	0	""	4	1.000	""	""	""	""	0	0	""	""
2019	14060	1	14927	Belmont	-	Totals	-	-	-	23	22	68	199	79	162	3	18	""	""	""	1670:25	44	2.371	84	0.656	2	""	""	""	0	1	106	4
2019	14060	1	14927	Belmont	-	Opponent Totals	-	-	-	44	40	128	295	128	192	2	20	""	""	""	1670:25	23	1.239	56	0.709	5	""	""	""	0	0	121	12
2019	14060	1	62	Binghamton	-	TEAM	-	-	-	""	""	0	""	""	200	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	62	Binghamton	-	Totals	-	-	-	13	10	36	175	74	223	3	23	""	""	""	1570:03	29	1.662	75	0.721	2	""	""	""	0	1	73	3
2019	14060	1	62	Binghamton	-	Opponent Totals	-	-	-	29	30	88	219	104	219	2	25	""	""	""	1570:03	13	0.745	61	0.824	9	""	""	1	1	3	106	12
2019	14060	1	67	Boston College	-	TEAM	-	-	-	""	""	0	""	""	192	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	67	Boston College	-	Totals	-	-	-	19	17	55	194	80	199	3	27	""	""	""	1520:00	25	1.480	44	0.638	3	""	""	""	0	1	66	4
2019	14060	1	67	Boston College	-	Opponent Totals	-	-	-	25	29	79	188	69	178	1	21	""	""	""	1520:00	19	1.125	61	0.762	4	""	""	""	1	1	88	8
2019	14060	1	68	Boston U.	-	TEAM	-	-	-	1	""	2	""	1	264	""	""	""	3	""	""	0	""	3	1.000	""	""	""	""	0	0	""	""
2019	14060	1	68	Boston U.	-	Totals	-	-	-	19	21	59	183	73	264	1	38	""	""	""	1801:38	28	1.399	82	0.745	4	""	""	""	0	1	61	5
2019	14060	1	68	Boston U.	-	Opponent Totals	-	-	-	28	29	85	233	110	250	1	25	""	""	""	1801:38	19	0.949	54	0.740	7	""	""	""	1	1	74	10
2019	14060	1	71	Bowling Green	-	TEAM	-	-	-	""	""	0	""	""	233	""	""	""	3	""	""	0	""	3	1.000	""	""	""	""	0	0	""	""
2019	14060	1	71	Bowling Green	-	Totals	-	-	-	22	26	70	215	88	233	1	16	""	""	""	1628:24	25	1.382	55	0.688	4	""	""	""	2	3	83	6
2019	14060	1	71	Bowling Green	-	Opponent Totals	-	-	-	25	17	67	203	80	208	""	28	""	""	""	1628:24	22	1.216	66	0.750	6	""	""	1	4	5	94	7
2019	14060	1	72	Bradley	-	TEAM	-	-	-	1	""	2	""	1	195	""	2	""	2	""	""	0	""	4	1.000	""	""	""	""	0	0	""	""
2019	14060	1	72	Bradley	-	Totals	-	-	-	20	22	62	198	84	195	""	19	""	""	""	1658:04	19	1.031	66	0.776	6	""	""	""	3	3	99	8
2019	14060	1	72	Bradley	-	Opponent Totals	-	-	-	19	17	55	244	85	207	""	17	""	""	""	1658:04	20	1.086	64	0.762	5	""	""	""	1	3	109	5
2019	14060	1	80	Brown	-	TEAM	-	-	-	1	""	2	""	1	194	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	80	Brown	-	Totals	-	-	-	17	17	51	187	84	194	""	15	""	""	""	1594:10	24	1.355	56	0.700	5	""	""	""	0	1	69	8
2019	14060	1	80	Brown	-	Opponent Totals	-	-	-	24	22	70	233	80	205	""	15	""	""	""	1594:10	17	0.960	67	0.798	4	""	""	""	0	0	114	8
2019	14060	1	81	Bryant	-	TEAM	-	-	-	""	""	0	""	""	197	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	81	Bryant	-	Totals	-	-	-	12	10	34	207	75	262	""	25	""	""	""	1590:00	26	1.472	73	0.737	5	""	""	1	1	1	83	5
2019	14060	1	81	Bryant	-	Opponent Totals	-	-	-	26	28	80	237	100	202	1	16	""	""	""	1590:00	12	0.679	63	0.840	7	""	""	""	1	2	84	9
2019	14060	1	83	Bucknell	-	TEAM	-	-	-	1	""	2	""	1	106	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	83	Bucknell	-	Totals	-	-	-	14	14	42	200	66	219	""	29	""	""	""	1641:24	21	1.151	63	0.750	5	""	""	""	2	2	96	6
2019	14060	1	83	Bucknell	-	Opponent Totals	-	-	-	21	19	61	218	84	244	1	31	""	""	""	1641:24	14	0.768	52	0.788	6	""	""	""	1	3	73	8
