year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2019	14060	1	87	Butler	-	TEAM	-	-	-	""	""	0	""	""	203	""	""	""	6	""	""	0	""	5	1.000	""	""	""	""	0	0	""	""
2019	14060	1	87	Butler	-	Totals	-	-	-	26	21	73	215	82	203	2	28	""	""	""	1685:46	39	2.082	70	0.642	1	""	""	""	5	6	101	4
2019	14060	1	87	Butler	-	Opponent Totals	-	-	-	39	39	117	259	109	264	1	28	""	""	""	1685:46	26	1.388	56	0.683	5	""	""	""	3	4	84	12
2019	14060	1	94	CSU Bakersfield	-	TEAM	-	-	-	""	""	0	""	""	209	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	94	CSU Bakersfield	-	Totals	-	-	-	22	20	64	212	81	222	4	39	""	""	""	1628:45	31	1.713	84	0.730	4	""	""	""	0	1	102	5
2019	14060	1	94	CSU Bakersfield	-	Opponent Totals	-	-	-	30	28	88	241	113	161	4	30	""	""	""	1538:45	19	1.111	57	0.750	5	""	""	""	0	0	98	12
2019	14060	1	101	CSUN	-	TEAM	-	-	-	1	""	2	""	1	250	""	1	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	1
2019	14060	1	101	CSUN	-	Totals	-	-	-	30	39	99	224	116	250	1	28	""	""	""	1641:33	23	1.261	65	0.739	5	""	""	""	0	1	79	9
2019	14060	1	101	CSUN	-	Opponent Totals	-	-	-	23	21	67	212	88	210	3	33	""	""	""	1641:33	30	1.645	86	0.741	3	""	""	""	2	3	72	8
2019	14060	1	90	Cal Poly	-	TEAM	-	-	-	""	""	0	""	""	187	""	""	""	3	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	90	Cal Poly	-	Totals	-	-	-	17	19	53	181	73	196	2	29	""	""	""	1513:14	21	1.249	83	0.798	5	""	""	""	1	2	52	5
2019	14060	1	90	Cal Poly	-	Opponent Totals	-	-	-	21	20	62	232	99	148	1	17	""	""	""	1423:14	15	0.949	53	0.779	7	""	""	""	1	3	85	9
2019	14060	1	97	Cal St. Fullerton	-	TEAM	-	-	-	1	""	2	""	1	249	""	""	""	1	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	97	Cal St. Fullerton	-	Totals	-	-	-	27	27	81	252	100	259	2	38	""	""	""	2081:02	24	1.038	80	0.769	8	""	""	""	1	1	111	7
2019	14060	1	97	Cal St. Fullerton	-	Opponent Totals	-	-	-	24	22	70	248	104	256	2	48	""	""	""	2081:02	27	1.168	73	0.730	2	""	""	""	2	3	101	6
2019	14060	1	107	California	-	TEAM	-	-	-	2	""	4	2	2	189	""	""	""	1	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	107	California	-	Totals	-	-	-	24	18	66	192	84	189	""	18	""	""	""	1729:24	23	1.197	66	0.742	5	""	""	""	1	2	71	7
2019	14060	1	107	California	-	Opponent Totals	-	-	-	23	19	65	205	89	205	2	26	""	""	""	1729:24	24	1.249	60	0.714	4	""	""	""	5	6	78	9
2019	14060	1	30135	California Baptist	-	TEAM	-	-	-	""	""	0	""	""	218	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	30135	California Baptist	-	Totals	-	-	-	31	32	94	262	121	241	2	27	""	""	""	1758:55	25	1.279	70	0.737	4	""	""	""	4	4	93	9
2019	14060	1	30135	California Baptist	-	Opponent Totals	-	-	-	25	24	74	219	94	196	3	29	""	""	""	1668:55	27	1.456	81	0.750	3	""	""	""	2	2	87	9
2019	14060	1	115	Campbell	-	TEAM	-	-	-	1	""	2	""	1	283	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	1	115	Campbell	-	Totals	-	-	-	36	43	115	295	127	292	2	35	""	""	""	1971:04	29	1.324	69	0.704	8	""	""	""	2	5	101	9
2019	14060	1	115	Campbell	-	Opponent Totals	-	-	-	29	28	86	236	98	246	1	24	""	""	""	1971:04	36	1.644	91	0.717	6	""	""	""	1	2	106	9
2019	14060	1	116	Canisius	-	TEAM	-	-	-	""	""	0	""	""	191	1	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	116	Canisius	-	Totals	-	-	-	19	20	58	203	83	211	3	37	""	""	""	1480:00	37	2.250	83	0.692	5	""	""	1	2	3	74	4
2019	14060	1	116	Canisius	-	Opponent Totals	-	-	-	37	42	116	269	120	239	1	23	""	""	""	1480:00	19	1.155	64	0.771	7	""	""	""	2	4	88	10
2019	14060	1	1004	Central Ark.	-	TEAM	-	-	-	1	""	2	""	1	213	""	2	""	4	""	""	0	""	5	1.000	""	""	""	""	0	0	""	""
2019	14060	1	1004	Central Ark.	-	Totals	-	-	-	27	28	82	264	121	213	""	25	""	""	""	1697:10	25	1.326	57	0.695	6	""	""	""	5	8	77	8
2019	14060	1	1004	Central Ark.	-	Opponent Totals	-	-	-	25	14	64	223	82	183	""	28	""	""	""	1607:10	24	1.344	76	0.760	4	""	""	""	3	4	73	6
2019	14060	1	127	Central Conn. St.	-	TEAM	-	-	-	""	""	0	""	""	146	1	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	127	Central Conn. St.	-	Totals	-	-	-	12	5	29	139	52	161	2	16	""	""	""	1370:00	31	2.036	73	0.702	1	""	""	""	2	3	56	1
2019	14060	1	127	Central Conn. St.	-	Opponent Totals	-	-	-	31	24	86	193	104	178	1	18	""	""	""	1370:00	12	0.788	40	0.769	5	""	""	""	5	6	69	13
2019	14060	1	458	Charlotte	-	TEAM	-	-	-	""	""	0	""	""	240	""	2	""	2	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	1	458	Charlotte	-	Totals	-	-	-	38	47	123	330	142	240	1	25	""	""	""	1967:51	13	0.595	75	0.852	13	""	""	""	1	2	120	14
2019	14060	1	458	Charlotte	-	Opponent Totals	-	-	-	13	13	39	190	88	242	1	37	""	""	""	1967:51	38	1.738	104	0.732	3	""	""	""	1	2	67	5
2019	14060	1	140	Cincinnati	-	TEAM	-	-	-	""	""	0	""	""	238	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	140	Cincinnati	-	Totals	-	-	-	13	12	38	190	74	238	1	28	""	""	""	1644:01	33	1.807	60	0.645	3	""	""	""	0	1	65	3
2019	14060	1	140	Cincinnati	-	Opponent Totals	-	-	-	33	26	92	234	93	246	1	26	""	""	""	1644:01	13	0.712	61	0.824	10	""	""	""	3	3	85	14
2019	14060	1	147	Clemson	-	TEAM	-	-	-	1	""	2	""	1	252	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	1
2019	14060	1	147	Clemson	-	Totals	-	-	-	23	15	61	193	75	274	1	32	""	""	""	1572:17	25	1.431	41	0.621	5	""	""	""	5	5	92	7
2019	14060	1	147	Clemson	-	Opponent Totals	-	-	-	25	26	76	165	66	242	2	38	""	""	""	1572:17	23	1.317	52	0.693	7	""	""	""	1	1	69	9
2019	14060	1	148	Cleveland St.	-	TEAM	-	-	-	""	""	0	""	""	202	1	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	148	Cleveland St.	-	Totals	-	-	-	19	19	57	190	68	202	2	26	""	""	""	1410:00	29	1.851	51	0.637	2	""	""	""	1	3	68	4
2019	14060	1	148	Cleveland St.	-	Opponent Totals	-	-	-	29	26	84	176	80	272	2	21	""	""	""	1410:00	19	1.213	49	0.721	4	""	""	""	1	1	74	8
2019	14060	1	149	Coastal Caro.	-	TEAM	-	-	-	1	""	2	""	1	209	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	149	Coastal Caro.	-	Totals	-	-	-	30	22	82	203	91	209	1	26	""	""	""	1456:00	23	1.422	52	0.693	4	""	""	""	1	1	64	10
2019	14060	1	149	Coastal Caro.	-	Opponent Totals	-	-	-	23	18	64	189	75	178	""	20	""	""	""	1456:00	30	1.854	61	0.670	1	""	""	""	0	0	70	6
2019	14060	1	1014	Col. of Charleston	-	TEAM	-	-	-	""	""	0	""	""	251	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	1014	Col. of Charleston	-	Totals	-	-	-	18	15	51	165	74	251	2	47	""	""	""	1576:51	32	1.826	54	0.628	3	""	""	""	1	2	55	5
2019	14060	1	1014	Col. of Charleston	-	Opponent Totals	-	-	-	32	31	95	220	86	202	""	23	""	""	""	1576:51	18	1.027	56	0.757	5	""	""	""	2	3	104	10
2019	14060	1	153	Colgate	-	TEAM	-	-	-	""	""	0	""	""	227	""	""	""	1	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	153	Colgate	-	Totals	-	-	-	27	23	77	278	109	258	1	30	""	""	""	2188:42	17	0.699	72	0.809	11	""	""	""	1	2	109	13
2019	14060	1	153	Colgate	-	Opponent Totals	-	-	-	17	12	46	228	89	300	3	36	""	""	""	2188:42	27	1.110	82	0.752	7	""	""	""	1	2	99	5
2019	14060	1	158	Columbia	-	TEAM	-	-	-	""	""	0	""	""	194	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	158	Columbia	-	Totals	-	-	-	25	22	72	200	84	194	""	14	""	""	""	1486:53	13	0.787	56	0.812	5	""	""	""	1	1	81	10
2019	14060	1	158	Columbia	-	Opponent Totals	-	-	-	13	11	37	169	69	203	""	15	""	""	""	1486:53	25	1.513	59	0.702	3	""	""	""	1	1	58	5
2019	14060	1	167	Cornell	-	TEAM	-	-	-	""	""	0	""	""	252	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	167	Cornell	-	Totals	-	-	-	30	24	84	214	109	252	""	33	""	""	""	1577:47	23	1.312	76	0.768	3	""	""	""	2	4	91	11
2019	14060	1	167	Cornell	-	Opponent Totals	-	-	-	23	18	64	200	99	219	""	30	""	""	""	1577:47	30	1.711	79	0.725	3	""	""	""	1	2	70	6
2019	14060	1	169	Creighton	-	TEAM	-	-	-	""	""	0	""	""	201	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	169	Creighton	-	Totals	-	-	-	25	25	75	306	124	214	2	25	""	""	""	1697:36	12	0.636	52	0.812	7	""	""	""	2	3	101	11
2019	14060	1	169	Creighton	-	Opponent Totals	-	-	-	12	12	36	161	64	223	4	35	""	""	""	1697:36	25	1.325	99	0.798	5	""	""	""	0	0	70	4
2019	14060	1	172	Dartmouth	-	TEAM	-	-	-	1	""	2	""	1	233	""	1	""	3	""	""	0	""	3	1.000	""	""	""	""	0	0	""	1
2019	14060	1	172	Dartmouth	-	Totals	-	-	-	20	15	55	216	83	233	1	32	""	""	""	1663:29	17	0.920	66	0.795	5	""	""	""	1	1	50	7
2019	14060	1	172	Dartmouth	-	Opponent Totals	-	-	-	17	16	50	229	83	204	""	20	""	""	""	1663:29	20	1.082	63	0.759	7	""	""	""	1	1	81	5
2019	14060	1	173	Davidson	-	TEAM	-	-	-	""	""	0	""	""	169	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	173	Davidson	-	Totals	-	-	-	26	17	69	227	102	176	""	28	""	""	""	1702:17	23	1.216	63	0.733	5	""	""	""	3	3	99	9
2019	14060	1	173	Davidson	-	Opponent Totals	-	-	-	23	15	61	193	86	191	1	20	""	""	""	1702:17	26	1.375	75	0.743	4	""	""	1	5	5	83	7
2019	14060	1	175	Dayton	-	TEAM	-	-	-	1	""	2	""	1	280	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	1
2019	14060	1	175	Dayton	-	Totals	-	-	-	22	17	61	272	105	280	2	35	""	""	""	1850:03	16	0.778	65	0.802	8	""	""	""	0	0	104	9
2019	14060	1	175	Dayton	-	Opponent Totals	-	-	-	16	15	47	219	81	222	1	31	""	""	""	1850:03	22	1.070	83	0.790	6	""	""	1	0	1	85	6
2019	14060	1	176	DePaul	-	TEAM	-	-	-	""	""	0	""	""	195	""	2	""	4	""	""	0	""	5	1.000	""	""	""	""	0	0	""	""
2019	14060	1	176	DePaul	-	Totals	-	-	-	17	20	54	163	80	197	1	31	""	""	""	1619:41	22	1.222	71	0.763	3	""	""	""	1	2	74	5
2019	14060	1	176	DePaul	-	Opponent Totals	-	-	-	22	22	66	224	93	212	1	29	""	""	""	1619:41	17	0.945	63	0.787	5	""	""	""	2	4	104	9
2019	14060	1	180	Delaware	-	TEAM	-	-	-	""	""	0	""	""	186	""	1	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	180	Delaware	-	Totals	-	-	-	17	14	48	169	68	186	2	23	""	""	""	1556:51	33	1.908	45	0.577	1	""	""	""	1	3	96	5
2019	14060	1	180	Delaware	-	Opponent Totals	-	-	-	33	36	102	144	78	202	""	23	""	""	""	1556:51	17	0.983	51	0.750	7	""	""	""	1	3	58	11
2019	14060	1	183	Denver	-	TEAM	-	-	-	1	""	2	1	1	77	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	1	183	Denver	-	Totals	-	-	-	42	48	132	280	132	267	1	38	""	""	""	1986:11	16	0.725	47	0.746	11	""	""	""	3	4	110	15
2019	14060	1	183	Denver	-	Opponent Totals	-	-	-	16	13	45	214	63	290	4	47	""	""	""	1986:11	42	1.903	90	0.682	4	""	""	""	1	2	85	4
2019	14060	1	184	Detroit Mercy	-	TEAM	-	-	-	1	""	2	""	1	233	""	2	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	184	Detroit Mercy	-	Totals	-	-	-	13	8	34	162	67	259	3	29	""	""	""	1689:17	41	2.184	71	0.634	1	""	""	""	2	4	82	1
2019	14060	1	184	Detroit Mercy	-	Opponent Totals	-	-	-	41	40	122	264	112	214	1	22	""	""	""	1689:17	13	0.693	54	0.806	9	""	""	""	2	3	121	14
2019	14060	1	189	Drake	-	TEAM	-	-	-	""	""	0	""	""	214	""	""	""	3	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	189	Drake	-	Totals	-	-	-	23	23	69	187	95	214	""	22	""	""	""	1643:01	17	0.931	97	0.851	4	""	""	""	1	2	63	7
2019	14060	1	189	Drake	-	Opponent Totals	-	-	-	17	15	49	243	114	178	1	27	""	""	""	1643:01	23	1.260	72	0.758	5	""	""	""	2	3	116	7
2019	14060	1	191	Drexel	-	TEAM	-	-	-	2	""	4	""	2	175	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	1
2019	14060	1	191	Drexel	-	Totals	-	-	-	26	20	72	183	89	175	""	21	""	""	""	1607:39	21	1.176	84	0.800	6	""	""	1	2	3	105	9
2019	14060	1	191	Drexel	-	Opponent Totals	-	-	-	21	14	56	262	105	241	""	32	""	""	""	1607:39	26	1.456	63	0.708	5	""	""	""	3	4	118	5
2019	14060	1	193	Duke	-	TEAM	-	-	-	""	""	0	""	""	107	""	1	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	1	193	Duke	-	Totals	-	-	-	33	25	91	295	120	236	2	21	""	""	""	1841:42	25	1.222	56	0.691	6	""	""	""	4	6	121	11
2019	14060	1	193	Duke	-	Opponent Totals	-	-	-	25	20	70	200	81	269	4	39	""	""	""	1841:42	33	1.613	87	0.725	7	""	""	""	1	2	82	7
2019	14060	1	194	Duquesne	-	TEAM	-	-	-	""	""	0	""	""	99	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	0	0	""	""
2019	14060	1	194	Duquesne	-	Totals	-	-	-	22	20	64	234	99	186	2	20	""	""	""	1510:27	25	1.490	54	0.684	3	""	""	1	2	2	110	4
2019	14060	1	194	Duquesne	-	Opponent Totals	-	-	-	25	24	74	172	80	156	4	33	""	""	""	1510:27	22	1.311	76	0.776	6	""	""	2	2	2	77	9
2019	14060	1	198	ETSU	-	TEAM	-	-	-	1	""	2	""	1	196	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	1
2019	14060	1	198	ETSU	-	Totals	-	-	-	25	20	70	249	101	196	""	22	""	""	""	1577:36	24	1.369	52	0.684	3	""	""	""	2	4	82	9
2019	14060	1	198	ETSU	-	Opponent Totals	-	-	-	24	23	71	178	76	164	1	19	""	""	""	1577:36	25	1.426	76	0.752	4	""	""	""	3	3	105	7
2019	14060	1	201	Eastern Ill.	-	TEAM	-	-	-	""	""	0	""	""	209	""	""	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	201	Eastern Ill.	-	Totals	-	-	-	12	8	32	152	64	223	2	26	""	""	""	1728:13	23	1.198	66	0.742	4	""	""	""	1	1	53	3
2019	14060	1	201	Eastern Ill.	-	Opponent Totals	-	-	-	23	22	68	217	89	248	1	25	""	""	""	1728:13	12	0.625	52	0.812	9	""	""	""	4	7	86	11
2019	14060	1	1068	Elon	-	TEAM	-	-	-	2	""	4	""	2	207	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	1	1068	Elon	-	Totals	-	-	-	20	12	52	167	60	207	""	25	""	""	""	1407:22	19	1.215	36	0.655	4	""	""	""	2	2	71	5
2019	14060	1	1068	Elon	-	Opponent Totals	-	-	-	19	15	53	146	55	220	1	35	""	""	""	1407:22	20	1.279	40	0.667	7	""	""	""	1	1	46	8
2019	14060	1	219	Evansville	-	TEAM	-	-	-	""	""	0	""	""	256	""	3	""	5	""	""	0	""	4	1.000	""	""	""	""	0	0	""	""
2019	14060	1	219	Evansville	-	Totals	-	-	-	21	20	62	235	105	256	3	33	""	""	""	1858:06	43	2.083	77	0.642	3	""	""	""	2	2	80	4
2019	14060	1	219	Evansville	-	Opponent Totals	-	-	-	43	43	129	258	120	214	3	35	""	""	""	1858:06	21	1.017	84	0.800	6	""	""	""	6	6	98	8
2019	14060	1	28755	FGCU	-	TEAM	-	-	-	1	""	2	""	1	178	""	1	""	4	""	""	0	""	3	1.000	""	""	""	""	0	0	""	1
2019	14060	1	28755	FGCU	-	Totals	-	-	-	33	26	92	213	99	189	""	29	""	""	""	1480:00	22	1.338	73	0.768	5	""	""	1	1	3	80	9
2019	14060	1	28755	FGCU	-	Opponent Totals	-	-	-	22	19	63	212	95	188	2	25	""	""	""	1480:00	33	2.007	66	0.667	2	""	""	""	4	5	81	5
2019	14060	1	231	FIU	-	TEAM	-	-	-	""	""	0	""	""	163	1	2	""	""	""	""	0	""	""	""	""	""	""	""	0	0	""	""
2019	14060	1	231	FIU	-	Totals	-	-	-	30	19	79	245	100	186	7	27	""	""	""	1581:01	40	2.277	67	0.626	""	""	""	""	3	4	78	7
2019	14060	1	231	FIU	-	Opponent Totals	-	-	-	40	33	113	244	107	196	2	29	""	""	""	1581:01	30	1.708	70	0.700	4	""	""	""	3	5	90	10
2019	14060	1	220	Fairfield	-	TEAM	-	-	-	2	""	4	""	2	213	""	""	""	1	""	""	0	""	""	""	""	""	""	""	0	0	""	1
2019	14060	1	220	Fairfield	-	Totals	-	-	-	27	19	73	193	97	213	""	19	""	""	""	1670:14	19	1.024	62	0.765	5	""	""	""	2	5	70	11
2019	14060	1	220	Fairfield	-	Opponent Totals	-	-	-	19	21	59	187	81	260	3	28	""	""	""	1670:14	27	1.455	70	0.722	4	""	""	""	0	0	91	5
2019	14060	1	222	Fairleigh Dickinson	-	TEAM	-	-	-	""	""	0	""	""	222	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	0	0	""	""
2019	14060	1	222	Fairleigh Dickinson	-	Totals	-	-	-	19	20	58	249	101	222	1	21	""	""	""	1732:24	19	0.987	68	0.782	5	""	""	""	0	1	76	7
2019	14060	1	222	Fairleigh Dickinson	-	Opponent Totals	-	-	-	19	14	52	191	87	202	2	13	""	""	""	1732:24	19	0.987	82	0.812	8	""	""	""	1	1	82	7
