year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2016	12241	1	721	Air Force	-	TEAM	-	-	-	1	""	2	""	218	""	1	""	2	""	""	0	""	2	1.000	""	""	""	""	""	""	""	1
2016	12241	1	721	Air Force	-	Totals	-	-	-	19	21	59	263	218	2	18	""	""	""	96,010	22	1.237	58	0.725	4	""	""	""	1	99	2	""
2016	12241	1	721	Air Force	-	Opponent Totals	-	-	-	22	19	63	191	206	""	27	""	""	""	96,010	19	1.069	91	0.827	3	""	""	""	3	86	3	""
2016	12241	1	5	Akron	-	TEAM	-	-	-	1	""	2	""	301	""	2	""	2	""	""	0	""	2	1.000	""	""	""	""	""	""	""	1
2016	12241	1	5	Akron	-	Totals	-	-	-	56	47	159	421	301	""	37	""	""	""	135,330	29	1.157	107	0.787	9	""	""	""	7	145	10	""
2016	12241	1	5	Akron	-	Opponent Totals	-	-	-	29	24	82	285	349	2	52	""	""	""	135,330	56	2.235	115	0.673	1	""	""	""	3	96	5	""
2016	12241	1	14	Albany (NY)	-	TEAM	-	-	-	""	""	0	""	257	""	""	""	3	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2016	12241	1	14	Albany (NY)	-	Totals	-	-	-	26	27	79	228	257	1	21	""	""	""	107,094	21	1.059	74	0.779	7	""	""	2	3	95	3	""
2016	12241	1	14	Albany (NY)	-	Opponent Totals	-	-	-	21	14	56	214	222	1	31	""	""	""	107,094	26	1.311	78	0.750	6	""	""	1	2	81	2	""
2016	12241	1	23	American	-	TEAM	-	-	-	""	""	0	""	227	""	1	""	3	""	""	0	""	2	1.000	""	""	""	""	""	""	""	""
2016	12241	1	23	American	-	Totals	-	-	-	45	35	125	371	227	""	24	""	""	""	123,927	17	0.741	68	0.800	12	""	""	""	3	141	3	""
2016	12241	1	23	American	-	Opponent Totals	-	-	-	17	16	50	224	262	""	37	""	""	""	123,927	45	1.961	124	0.734	2	""	""	""	2	92	2	""
2016	12241	1	27	Appalachian St.	-	TEAM	-	-	-	""	""	0	""	231	""	1	""	2	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2016	12241	1	27	Appalachian St.	-	Totals	-	-	-	19	15	53	231	231	""	29	""	""	""	98,378	22	1.208	54	0.711	6	""	""	""	3	88	3	""
2016	12241	1	27	Appalachian St.	-	Opponent Totals	-	-	-	22	23	67	192	227	3	24	""	""	""	98,378	19	1.043	67	0.779	5	""	""	""	""	63	""	""
2016	12241	1	725	Army West Point	-	TEAM	-	-	-	""	""	0	""	237	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12241	1	725	Army West Point	-	Totals	-	-	-	16	15	47	195	249	""	24	""	""	""	104,083	25	1.297	71	0.740	3	""	""	""	1	85	1	""
2016	12241	1	725	Army West Point	-	Opponent Totals	-	-	-	25	26	76	201	229	""	25	""	""	""	104,083	16	0.830	57	0.781	7	""	""	1	3	83	3	""
2016	12241	1	14927	Belmont	-	TEAM	-	-	-	""	""	0	""	185	""	2	""	2	1	""	0	""	2	1.000	""	""	""	""	""	""	""	""
2016	12241	1	14927	Belmont	-	Totals	-	-	-	16	12	44	188	185	""	17	""	""	""	105,152	33	1.695	70	0.680	2	""	""	""	""	88	1	""
2016	12241	1	14927	Belmont	-	Opponent Totals	-	-	-	33	31	97	243	235	2	22	""	""	""	105,152	16	0.822	62	0.795	8	""	""	""	1	99	1	""
2016	12241	1	62	Binghamton	-	TEAM	-	-	-	""	""	0	""	240	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2016	12241	1	62	Binghamton	-	Totals	-	-	-	22	22	66	201	246	1	26	""	""	""	111,372	24	1.164	88	0.786	6	""	""	1	1	74	1	""
2016	12241	1	62	Binghamton	-	Opponent Totals	-	-	-	24	19	67	234	241	1	13	""	""	""	111,372	22	1.067	62	0.738	6	""	""	""	1	107	2	""
2016	12241	1	67	Boston College	-	TEAM	-	-	-	""	""	0	""	250	""	""	""	2	""	""	0	""	2	1.000	""	""	""	""	""	""	""	""
2016	12241	1	67	Boston College	-	Totals	-	-	-	30	28	88	212	250	""	31	""	""	""	118,485	28	1.276	78	0.736	4	""	""	""	""	79	1	""
2016	12241	1	67	Boston College	-	Opponent Totals	-	-	-	28	32	88	278	230	1	19	""	""	""	118,485	30	1.367	63	0.677	5	""	""	""	1	168	2	""
2016	12241	1	68	Boston U.	-	TEAM	-	-	-	2	""	4	""	255	""	""	""	4	""	""	0	""	4	1.000	""	""	""	""	""	""	""	1
2016	12241	1	68	Boston U.	-	Totals	-	-	-	29	30	88	286	255	""	22	""	""	""	111,799	22	1.063	90	0.804	7	""	""	""	2	109	2	""
2016	12241	1	68	Boston U.	-	Opponent Totals	-	-	-	22	23	67	285	173	1	15	""	""	""	111,799	29	1.401	83	0.741	2	""	""	""	1	87	1	""
2016	12241	1	71	Bowling Green	-	TEAM	-	-	-	""	""	0	""	204	""	""	""	5	""	""	0	""	5	1.000	""	""	""	""	""	""	""	""
2016	12241	1	71	Bowling Green	-	Totals	-	-	-	29	35	93	293	225	1	20	""	""	""	105,399	32	1.639	61	0.656	3	""	""	""	3	93	3	""
2016	12241	1	71	Bowling Green	-	Opponent Totals	-	-	-	32	37	101	246	209	2	25	""	""	""	105,399	29	1.486	91	0.758	6	""	""	""	""	92	""	""
2016	12241	1	72	Bradley	-	TEAM	-	-	-	""	""	0	""	211	1	1	""	3	""	""	0	""	4	1.000	""	""	""	""	""	""	""	""
2016	12241	1	72	Bradley	-	Totals	-	-	-	22	22	66	182	211	1	22	""	""	""	99,599	25	1.355	85	0.773	5	""	""	""	1	87	1	""
2016	12241	1	72	Bradley	-	Opponent Totals	-	-	-	25	22	72	312	186	""	19	""	""	""	99,599	22	1.193	56	0.718	6	""	""	""	""	107	1	""
2016	12241	1	80	Brown	-	TEAM	-	-	-	1	""	2	""	234	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2016	12241	1	80	Brown	-	Totals	-	-	-	22	21	65	208	234	""	24	""	""	""	95,685	16	0.903	62	0.795	6	""	""	""	4	98	4	""
2016	12241	1	80	Brown	-	Opponent Totals	-	-	-	16	11	43	225	223	2	31	""	""	""	95,685	22	1.242	80	0.784	2	""	""	1	2	94	4	""
2016	12241	1	81	Bryant	-	TEAM	-	-	-	1	""	2	""	217	""	""	""	1	""	""	0	""	1	1.000	""	""	""	""	""	""	""	""
2016	12241	1	81	Bryant	-	Totals	-	-	-	19	14	52	196	217	2	29	""	""	""	93,937	23	1.322	76	0.768	3	""	""	""	""	78	""	""
2016	12241	1	81	Bryant	-	Opponent Totals	-	-	-	23	21	67	220	229	""	25	""	""	""	93,937	19	1.092	61	0.762	3	""	""	""	4	99	4	""
