year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	error	exempted	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2017	12440	30093	AUM	09/01/2016	Lynn @ Cleveland, Tenn.		Lynn	http://stats.ncaa.org/team/20794/12440	true	Cleveland, Tenn.	true	L 1 - 9	false	false	false	1 - 9	1	9	false		4163869	http://stats.ncaa.org/game/index/4163869?org_id=30093
2017	12440	30093	AUM	09/03/2016	Ill.-Springfield @ Cleveland, Tenn.		Ill.-Springfield	http://stats.ncaa.org/team/30050/12440	true	Cleveland, Tenn.	true	W 3 - 2	false	false	true	3 - 2	3	2	false		4164569	http://stats.ncaa.org/game/index/4164569?org_id=30093
2017	12440	30093	AUM	09/09/2016	@ Mississippi Col.		Mississippi Col.		false		false	-	false	false								
2017	12440	30093	AUM	09/09/2016	@ Mississippi Col.		Mississippi Col.		false		false	-	false	false								
2017	12440	30093	AUM	09/09/2016	@ Mississippi Col.		Mississippi Col.		false		false	-	false	false								
2017	12440	30093	AUM	09/09/2016	@ Mississippi Col.		Mississippi Col.		false		false	-	false	false								
2017	12440	30093	AUM	09/11/2016	@ Delta St.		Delta St.		false		false	-	false	false								
2017	12440	30093	AUM	09/14/2016	Clayton St.		Clayton St.		false		true	-	false	false								
2017	12440	30093	AUM	09/16/2016	@ Lee		Lee		false		false	-	false	false								
2017	12440	30093	AUM	09/23/2016	Ala.-Huntsville		Ala.-Huntsville		false		true	-	false	false								
2017	12440	30093	AUM	09/25/2016	West Ala.		West Ala.		false		true	-	false	false								
2017	12440	30093	AUM	10/12/2016	Spring Hill		Spring Hill		false		true	-	false	false								
2017	12440	30093	AUM	10/15/2016	@ Tampa		Tampa		false		false	-	false	false								
2017	12440	30093	AUM	10/16/2016	Barry@Tampa, FL		BarryTampa, FL		false		false	-	false	false								
2017	12440	30093	AUM	10/27/2016	West Florida		West Florida		false		true	-	false	false								
2017	12440	30093	AUM	10/28/2016	@ Union (TN)		Union (TN)		false		false	-	false	false								
2017	12440	30093	AUM	10/29/2016	@ Christian Bros.		Christian Bros.		false		false	-	false	false								
2017	12440	30093	AUM	11/03/2016	Embry-Riddle (FL)		Embry-Riddle (FL)		false		true	-	false	false								
2017	12440	30093	AUM	11/04/2016	Spring Hill@Daytona Beach, FL		Spring HillDaytona Beach, FL		false		false	-	false	false								
2017	12440	30123	Academy of Art	09/02/2016	@ Cal St. East Bay		Cal St. East Bay	http://stats.ncaa.org/team/98/12440	false		false	L 0 - 3	false	false	false	0 - 3	0	3	false		4164571	http://stats.ncaa.org/game/index/4164571?org_id=98
2017	12440	30123	Academy of Art	09/08/2016	Stanislaus St.		Stanislaus St.	http://stats.ncaa.org/team/103/12440	false		true	T 2 - 2 (2OT)	false	false	false	2 - 2	2	2	true	2OT	4165117	http://stats.ncaa.org/game/index/4165117?org_id=103
2017	12440	30123	Academy of Art	09/10/2016	@ San Fran. St.		San Fran. St.		false		false	-	false	false								
2017	12440	30123	Academy of Art	09/12/2016	Cal St. Monterey Bay		Cal St. Monterey Bay		false		true	-	false	false								
2017	12440	30123	Academy of Art	09/16/2016	Concordia Portland		Concordia Portland		false		true	-	false	false								
2017	12440	30123	Academy of Art	09/20/2016	BYU-Hawaii		BYU-Hawaii		false		true	-	false	false								
2017	12440	30123	Academy of Art	09/24/2016	Hawaii Hilo		Hawaii Hilo		false		true	-	false	false								
2017	12440	30123	Academy of Art	09/26/2016	Chaminade		Chaminade		false		true	-	false	false								
2017	12440	30123	Academy of Art	10/03/2016	@ Holy Names		Holy Names		false		false	-	false	false								
2017	12440	30123	Academy of Art	10/06/2016	@ Point Loma		Point Loma		false		false	-	false	false								
2017	12440	30123	Academy of Art	10/08/2016	@ Azusa Pacific		Azusa Pacific		false		false	-	false	false								
2017	12440	30123	Academy of Art	10/16/2016	Dominican (CA)		Dominican (CA)		false		true	-	false	false								
2017	12440	30123	Academy of Art	10/19/2016	@ Fresno Pacific		Fresno Pacific		false		false	-	false	false								
2017	12440	30123	Academy of Art	10/22/2016	@ Dixie St.		Dixie St.		false		false	-	false	false								
2017	12440	30123	Academy of Art	10/27/2016	Notre Dame de Namur		Notre Dame de Namur		false		true	-	false	false								
2017	12440	30123	Academy of Art	11/01/2016	Hawaii Pacific		Hawaii Pacific		false		true	-	false	false								
2017	12440	30123	Academy of Art	11/03/2016	@ California Baptist		California Baptist		false		false	-	false	false								
2017	12440	30123	Academy of Art	11/05/2016	@ Concordia (CA)		Concordia (CA)		false		false	-	false	false								
2017	12440	929	Adams St.	09/02/2016	Tex. A&M Int'l		Tex. A&M Int'l	http://stats.ncaa.org/team/30090/12440	false		true	W 2 - 1 (1OT)	false	false	true	2 - 1	2	1	true	1OT	4164616	http://stats.ncaa.org/game/index/4164616?org_id=929
2017	12440	929	Adams St.	09/05/2016	Tex. Permian Basin @ Portales, NM		Tex. Permian Basin	http://stats.ncaa.org/team/30088/12440	true	Portales, NM	true	W 4 - 3	false	false	true	4 - 3	4	3	false		4164855	http://stats.ncaa.org/game/index/4164855?org_id=929
2017	12440	929	Adams St.	09/07/2016	@ Eastern N.M.		Eastern N.M.	http://stats.ncaa.org/team/206/12440	false		false	W 3 - 2	false	false	true	3 - 2	3	2	false		4164900	http://stats.ncaa.org/game/index/4164900?org_id=206
2017	12440	929	Adams St.	09/11/2016	Lubbock Christian		Lubbock Christian		false		true	-	false	false								
2017	12440	929	Adams St.	09/16/2016	Regis (CO)		Regis (CO)		false		true	-	false	false								
2017	12440	929	Adams St.	09/18/2016	South Dakota Mines		South Dakota Mines		false		true	-	false	false								
2017	12440	929	Adams St.	09/21/2016	Fort Lewis		Fort Lewis		false		true	-	false	false								
2017	12440	929	Adams St.	09/23/2016	@ Colorado St.-Pueblo		Colorado St.-Pueblo		false		false	-	false	false								
2017	12440	929	Adams St.	09/30/2016	Westminster (UT)		Westminster (UT)		false		true	-	false	false								
2017	12440	929	Adams St.	10/02/2016	@ Colorado Mesa		Colorado Mesa		false		false	-	false	false								
2017	12440	929	Adams St.	10/05/2016	@ Fort Lewis		Fort Lewis		false		false	-	false	false								
2017	12440	929	Adams St.	10/09/2016	Colorado St.-Pueblo		Colorado St.-Pueblo		false		true	-	false	false								
2017	12440	929	Adams St.	10/14/2016	@ Colorado Mines		Colorado Mines		false		false	-	false	false								
2017	12440	929	Adams St.	10/16/2016	@ Colo. Christian		Colo. Christian		false		false	-	false	false								
2017	12440	929	Adams St.	10/21/2016	Colorado Mines		Colorado Mines		false		true	-	false	false								
2017	12440	929	Adams St.	10/23/2016	Colo. Christian		Colo. Christian		false		true	-	false	false								
2017	12440	929	Adams St.	10/28/2016	@ MSU Denver		MSU Denver		false		false	-	false	false								
2017	12440	929	Adams St.	10/30/2016	@ UC-Colo. Springs		UC-Colo. Springs		false		false	-	false	false								
2017	12440	3	Adelphi	09/01/2016	LIU Post		LIU Post	http://stats.ncaa.org/team/362/12440	false		true	L 1 - 2	false	false	false	1 - 2	1	2	false		4157878	http://stats.ncaa.org/game/index/4157878?org_id=3
2017	12440	3	Adelphi	09/03/2016	Dominican (NY)		Dominican (NY)	http://stats.ncaa.org/team/8956/12440	false		true	W 2 - 0	false	false	true	2 - 0	2	0	false		4160319	http://stats.ncaa.org/game/index/4160319?org_id=3
2017	12440	3	Adelphi	09/10/2016	Millersville		Millersville		false		true	-	false	false								
2017	12440	3	Adelphi	09/13/2016	@ New Haven		New Haven		false		false	-	false	false								
2017	12440	3	Adelphi	09/17/2016	Le Moyne		Le Moyne		false		true	-	false	false								
2017	12440	3	Adelphi	09/21/2016	Assumption		Assumption		false		true	-	false	false								
2017	12440	3	Adelphi	09/24/2016	@ Saint Michael's		Saint Michael's		false		false	-	false	false								
2017	12440	3	Adelphi	09/27/2016	Bentley		Bentley		false		true	-	false	false								
2017	12440	3	Adelphi	10/01/2016	@ Merrimack		Merrimack		false		false	-	false	false								
2017	12440	3	Adelphi	10/08/2016	Stonehill		Stonehill		false		true	-	false	false								
2017	12440	3	Adelphi	10/11/2016	Franklin Pierce		Franklin Pierce		false		true	-	false	false								
2017	12440	3	Adelphi	10/15/2016	@ Southern N.H.		Southern N.H.		false		false	-	false	false								
2017	12440	3	Adelphi	10/19/2016	Southern Conn. St.		Southern Conn. St.		false		true	-	false	false								
2017	12440	3	Adelphi	10/22/2016	St. Anselm		St. Anselm		false		true	-	false	false								
2017	12440	3	Adelphi	10/25/2016	@ American Int'l		American Int'l		false		false	-	false	false								
2017	12440	3	Adelphi	10/28/2016	@ Saint Rose		Saint Rose		false		false	-	false	false								
2017	12440	10	Ala.-Huntsville	09/01/2016	Trevecca Nazarene		Trevecca Nazarene	http://stats.ncaa.org/team/30002/12440	false		true	L 1 - 2	false	false	false	1 - 2	1	2	false		4164619	http://stats.ncaa.org/game/index/4164619?org_id=10
2017	12440	10	Ala.-Huntsville	09/05/2016	Lynn		Lynn	http://stats.ncaa.org/team/20794/12440	false		true	L 1 - 2 (2OT)	false	false	false	1 - 2	1	2	true	2OT	4164620	http://stats.ncaa.org/game/index/4164620?org_id=10
2017	12440	10	Ala.-Huntsville	09/08/2016	@ Montevallo		Montevallo	http://stats.ncaa.org/team/1238/12440	false		false	L 1 - 2 (2OT)	false	false	false	1 - 2	1	2	true	2OT	4165791	http://stats.ncaa.org/game/index/4165791?org_id=1238
2017	12440	10	Ala.-Huntsville	09/11/2016	Rollins		Rollins		false		true	-	false	false								
2017	12440	10	Ala.-Huntsville	09/17/2016	King (TN)		King (TN)		false		true	-	false	false								
2017	12440	10	Ala.-Huntsville	09/23/2016	@ AUM		AUM		false		false	-	false	false								
2017	12440	10	Ala.-Huntsville	09/25/2016	Palm Beach Atl.		Palm Beach Atl.		false		true	-	false	false								
2017	12440	10	Ala.-Huntsville	09/30/2016	Delta St.		Delta St.		false		true	-	false	false								
2017	12440	10	Ala.-Huntsville	10/02/2016	Mississippi Col.		Mississippi Col.		false		true	-	false	false								
2017	12440	10	Ala.-Huntsville	10/07/2016	@ Union (TN)		Union (TN)		false		false	-	false	false								
2017	12440	10	Ala.-Huntsville	10/09/2016	@ Christian Bros.		Christian Bros.		false		false	-	false	false								
