year	year_id	team_id	team_name	game_date	game_string	opponent_id	opponent_name	opponent_url	neutral_site	neutral_location	home_game	score_string	error	exempted	team_won	score	team_score	opponent_score	overtime	overtime_periods	game_id	game_url
2016	12241	721	Air Force	08/29/2015	Army West Point		Army West Point	http://stats.ncaa.org/team/725/12241	false		true	W 1 - 0 (2OT)	false	false	true	1 - 0	1	0	true	2OT	3880958	http://stats.ncaa.org/game/index/3880958?org_id=721
2016	12241	721	Air Force	09/04/2015	@ Evansville		Evansville	http://stats.ncaa.org/team/219/12241	false		false	W 2 - 1 (2OT)	false	false	true	2 - 1	2	1	true	2OT	3883837	http://stats.ncaa.org/game/index/3883837?org_id=219
2016	12241	721	Air Force	09/06/2015	Drake @ Evansville, Ind.		Drake	http://stats.ncaa.org/team/189/12241	true	Evansville, Ind.	true	L 1 - 2	false	false	false	1 - 2	1	2	false		3886945	http://stats.ncaa.org/game/index/3886945?org_id=721
2016	12241	721	Air Force	09/11/2015	@ Cal Poly		Cal Poly	http://stats.ncaa.org/team/90/12241	false		false	L 0 - 1	false	false	false	0 - 1	0	1	false		3891661	http://stats.ncaa.org/game/index/3891661?org_id=90
2016	12241	721	Air Force	09/18/2015	@ Colgate		Colgate	http://stats.ncaa.org/team/153/12241	false		false	L 2 - 3	false	false	false	2 - 3	2	3	false		3901092	http://stats.ncaa.org/game/index/3901092?org_id=153
2016	12241	721	Air Force	09/20/2015	@ Cornell		Cornell	http://stats.ncaa.org/team/167/12241	false		false	L 1 - 2 (1OT)	false	false	false	1 - 2	1	2	true	1OT	3904398	http://stats.ncaa.org/game/index/3904398?org_id=167
2016	12241	721	Air Force	09/27/2015	@ Bradley		Bradley	http://stats.ncaa.org/team/72/12241	false		false	W 1 - 0	false	false	true	1 - 0	1	0	false		3910269	http://stats.ncaa.org/game/index/3910269?org_id=72
2016	12241	721	Air Force	10/02/2015	@ Utah Valley		Utah Valley	http://stats.ncaa.org/team/30024/12241	false		false	L 1 - 2 (1OT)	false	false	false	1 - 2	1	2	true	1OT	3913684	http://stats.ncaa.org/game/index/3913684?org_id=30024
2016	12241	721	Air Force	10/04/2015	@ Seattle		Seattle	http://stats.ncaa.org/team/1356/12241	false		false	L 0 - 2	false	false	false	0 - 2	0	2	false		3916016	http://stats.ncaa.org/game/index/3916016?org_id=1356
2016	12241	721	Air Force	10/11/2015	Incarnate Word		Incarnate Word	http://stats.ncaa.org/team/2743/12241	false		true	W 1 - 0	false	false	true	1 - 0	1	0	false		3922400	http://stats.ncaa.org/game/index/3922400?org_id=721
2016	12241	721	Air Force	10/16/2015	UTRGV		UTRGV	http://stats.ncaa.org/team/536/12241	false		true	W 1 - 0	false	false	true	1 - 0	1	0	false		3927298	http://stats.ncaa.org/game/index/3927298?org_id=721
2016	12241	721	Air Force	10/18/2015	Houston Baptist		Houston Baptist	http://stats.ncaa.org/team/287/12241	false		true	L 1 - 2 (2OT)	false	false	false	1 - 2	1	2	true	2OT	3930479	http://stats.ncaa.org/game/index/3930479?org_id=721
2016	12241	721	Air Force	10/23/2015	@ CSU Bakersfield		CSU Bakersfield	http://stats.ncaa.org/team/94/12241	false		false	L 1 - 2	false	false	false	1 - 2	1	2	false		3933536	http://stats.ncaa.org/game/index/3933536?org_id=94
2016	12241	721	Air Force	10/25/2015	@ San Jose St.		San Jose St.	http://stats.ncaa.org/team/630/12241	false		false	T 1 - 1 (2OT)	false	false	false	1 - 1	1	1	true	2OT	3936117	http://stats.ncaa.org/game/index/3936117?org_id=630
2016	12241	721	Air Force	10/30/2015	Grand Canyon		Grand Canyon	http://stats.ncaa.org/team/1104/12241	false		true	W 3 - 2 (1OT)	false	false	true	3 - 2	3	2	true	1OT	3939461	http://stats.ncaa.org/game/index/3939461?org_id=721
2016	12241	721	Air Force	11/01/2015	UNLV		UNLV	http://stats.ncaa.org/team/465/12241	false		true	W 2 - 1	false	false	true	2 - 1	2	1	false		3941745	http://stats.ncaa.org/game/index/3941745?org_id=721
2016	12241	721	Air Force	11/07/2015	@ UMKC		UMKC	http://stats.ncaa.org/team/2707/12241	false		false	L 0 - 1	false	false	false	0 - 1	0	1	false		3945511	http://stats.ncaa.org/game/index/3945511?org_id=2707
2016	12241	5	Akron	08/28/2015	@ VCU		VCU	http://stats.ncaa.org/team/740/12241	false		false	W 3 - 2 (2OT)	false	false	true	3 - 2	3	2	true	2OT	3887424	http://stats.ncaa.org/game/index/3887424?org_id=740
2016	12241	5	Akron	08/30/2015	@ Old Dominion		Old Dominion	http://stats.ncaa.org/team/523/12241	false		false	L 1 - 4	false	false	false	1 - 4	1	4	false		3880715	http://stats.ncaa.org/game/index/3880715?org_id=523
2016	12241	5	Akron	09/04/2015	@ Georgetown		Georgetown	http://stats.ncaa.org/team/251/12241	false		false	W 1 - 0	false	false	true	1 - 0	1	0	false		3883106	http://stats.ncaa.org/game/index/3883106?org_id=251
