year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2018	12621	1	721	Air Force	-	TEAM	-	-	-	""	""	0	""	""	224	""	3	""	2	""	""	0	""	3	1.000	""	""	""	1	""	""	""	""
2018	12621	1	721	Air Force	-	Totals	-	-	-	33	30	96	288	127	224	1	32	""	""	""	1869:00	13	0.626	64	0.831	10	""	""	1	2	110	2	""
2018	12621	1	721	Air Force	-	Opponent Totals	-	-	-	13	12	38	190	77	228	2	29	""	""	""	1869:00	33	1.589	94	0.740	4	""	""	""	""	76	""	""
2018	12621	1	5	Akron	-	TEAM	-	-	-	""	""	0	""	""	242	""	""	""	5	""	""	0	""	5	1.000	""	""	""	""	""	""	""	""
2018	12621	1	5	Akron	-	Totals	-	-	-	50	54	154	341	141	257	2	28	""	""	""	2229:46	14	0.565	63	0.818	12	""	""	""	4	160	5	""
2018	12621	1	5	Akron	-	Opponent Totals	-	-	-	14	10	38	185	77	253	2	31	""	""	""	2229:46	50	2.018	91	0.645	6	""	""	""	1	79	2	""
2018	12621	1	14	Albany (NY)	-	TEAM	-	-	-	""	""	0	""	""	275	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2018	12621	1	14	Albany (NY)	-	Totals	-	-	-	33	31	97	228	105	275	1	32	""	""	""	2062:27	16	0.698	71	0.816	12	""	""	""	1	91	1	""
2018	12621	1	14	Albany (NY)	-	Opponent Totals	-	-	-	16	18	50	207	87	240	2	20	""	""	""	2062:27	33	1.440	72	0.686	4	""	""	""	2	79	2	""
2018	12621	1	23	American	-	TEAM	-	-	-	""	""	0	""	""	192	""	2	""	2	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2018	12621	1	23	American	-	Totals	-	-	-	15	13	43	183	90	210	""	33	""	""	""	1558:56	40	2.309	78	0.661	1	""	""	""	2	77	3	""
2018	12621	1	23	American	-	Opponent Totals	-	-	-	40	38	118	239	118	214	""	25	""	""	""	1558:56	15	0.866	75	0.833	7	""	""	""	1	87	1	""
2018	12621	1	27	Appalachian St.	-	TEAM	-	-	-	""	""	0	""	""	168	""	3	""	3	""	""	0	""	3	1.000	""	""	""	""	""	""	""	""
2018	12621	1	27	Appalachian St.	-	Totals	-	-	-	12	9	33	137	53	179	1	24	""	""	""	1851:12	23	1.118	75	0.765	6	""	""	""	1	65	1	""
2018	12621	1	27	Appalachian St.	-	Opponent Totals	-	-	-	23	22	68	256	98	202	1	32	""	""	""	1851:12	12	0.583	41	0.774	11	""	""	""	1	150	1	""
2018	12621	1	725	Army West Point	-	TEAM	-	-	-	""	""	0	""	""	203	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
2018	12621	1	725	Army West Point	-	Totals	-	-	-	21	19	61	259	104	218	1	24	""	""	""	1592:39	14	0.791	36	0.720	8	""	""	""	""	108	""	""
2018	12621	1	725	Army West Point	-	Opponent Totals	-	-	-	14	15	43	132	50	181	2	24	""	""	""	1592:39	21	1.187	83	0.798	5	""	""	""	""	61	""	""
2018	12621	1	14927	Belmont	-	TEAM	-	-	-	""	""	0	""	""	197	""	1	""	1	""	""	0	""	2	1.000	""	""	""	""	""	""	""	""
