year	year_id	division_id	team_id	team_name	jersey_number	player_name	class_year	gp	gs	goals	assists	points	sh_att	fouls	red_cards	yellow_cards	gc	goal_app	ggs	goalie_min_played	ga	gaa	saves	save_pct	shutouts	g_wins	g_loss	d_saves	corners	ps	psa	gwg
2015	11701	1	721	Air Force	-	TEAM	-	-	-	 	 	0	 	212	 	2	 	6	 	 	0	""	6	1.000	 	 	 	 	 	 	 	 
2015	11701	1	721	Air Force	-	Totals	-	-	-	20	17	57	269	223	 	18	 	 	 	1700:00	22	1.165	94	0.810	6	 	 	 	87	1	1	 
2015	11701	1	721	Air Force	-	Opponent Totals	-	-	-	22	19	63	267	189	2	20	 	 	 	1700:00	20	1.059	97	0.829	5	 	 	 	85	 	 	 
2015	11701	1	5	Akron	-	TEAM	-	-	-	 	 	0	 	268	 	4	 	2	 	 	0	""	2	1.000	 	 	 	 	 	 	 	 
2015	11701	1	5	Akron	-	Totals	-	-	-	37	26	100	283	279	 	37	 	 	 	1949:30	17	0.785	75	0.815	7	 	 	 	125	9	10	 
2015	11701	1	5	Akron	-	Opponent Totals	-	-	-	17	15	49	216	365	4	49	 	 	 	1949:30	37	1.708	85	0.697	4	 	 	 	71	1	3	 
2015	11701	1	14	Albany (NY)	-	TEAM	-	-	-	 	 	0	 	271	 	 	 	3	 	 	0	""	4	1.000	 	 	 	 	 	 	 	 
2015	11701	1	14	Albany (NY)	-	Totals	-	-	-	21	17	59	233	271	1	26	 	 	 	1861:40	24	1.160	85	0.780	4	 	 	3	80	3	5	 
2015	11701	1	14	Albany (NY)	-	Opponent Totals	-	-	-	24	22	70	268	213	 	33	 	 	 	1861:40	21	1.015	80	0.792	6	 	 	 	94	1	1	 
2015	11701	1	23	American	-	TEAM	-	-	-	 	 	0	 	196	 	 	 	4	 	 	0	""	3	1.000	 	 	 	 	 	 	 	 
2015	11701	1	23	American	-	Totals	-	-	-	25	17	67	334	203	 	13	 	 	 	1827:40	16	0.788	65	0.802	8	 	 	 	111	2	2	 
2015	11701	1	23	American	-	Opponent Totals	-	-	-	16	14	46	215	229	2	31	 	 	 	1827:40	25	1.231	94	0.790	6	 	 	 	74	1	1	 
2015	11701	1	27	Appalachian St.	-	TEAM	-	-	-	 	 	0	 	221	 	 	 	3	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
2015	11701	1	27	Appalachian St.	-	Totals	-	-	-	21	20	62	245	230	1	28	 	 	 	1700:06	25	1.323	61	0.709	5	 	 	 	88	1	1	 
2015	11701	1	27	Appalachian St.	-	Opponent Totals	-	-	-	25	17	67	198	244	1	27	 	 	 	1700:06	21	1.112	83	0.798	8	 	 	 	70	2	3	 
2015	11701	1	725	Army West Point	-	TEAM	-	-	-	 	 	0	 	254	 	 	 	1	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
2015	11701	1	725	Army West Point	-	Totals	-	-	-	16	17	49	244	254	3	32	 	 	 	1850:24	17	0.827	69	0.802	8	 	 	 	118	 	1	 
2015	11701	1	725	Army West Point	-	Opponent Totals	-	-	-	17	12	46	219	247	3	27	 	 	 	1850:24	16	0.778	66	0.805	9	 	 	 	72	2	2	 
2015	11701	1	14927	Belmont	-	TEAM	-	-	-	 	 	0	 	142	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11701	1	14927	Belmont	-	Totals	-	-	-	10	6	26	134	142	 	11	 	 	 	1472:50	33	2.017	53	0.616	2	 	 	 	51	1	1	 
2015	11701	1	14927	Belmont	-	Opponent Totals	-	-	-	33	32	98	222	187	 	18	 	 	 	1472:50	10	0.611	42	0.808	9	 	 	 	97	 	 	 
2015	11701	1	62	Binghamton	-	TEAM	-	-	-	1	 	2	 	210	 	 	 	3	 	 	0	""	4	1.000	 	 	 	 	 	 	 	 
2015	11701	1	62	Binghamton	-	Totals	-	-	-	16	12	44	178	221	1	19	 	 	 	1849:06	22	1.071	91	0.805	3	 	 	 	69	 	1	 
2015	11701	1	62	Binghamton	-	Opponent Totals	-	-	-	21	20	62	273	179	2	10	 	 	 	1849:06	16	0.779	59	0.787	11	 	 	 	127	2	3	 
2015	11701	1	67	Boston College	-	TEAM	-	-	-	 	 	0	 	174	 	 	 	 	 	 	""	""	 	""	 	 	 	 	 	 	 	 
2015	11701	1	67	Boston College	-	Totals	-	-	-	19	13	51	173	182	1	23	 	 	 	1535:19	21	1.231	62	0.747	5	 	 	 	85	 	 	 
2015	11701	1	67	Boston College	-	Opponent Totals	-	-	-	21	17	59	198	177	1	22	 	 	 	1535:19	19	1.114	56	0.747	5	 	 	 	76	2	2	 
2015	11701	1	68	Boston U.	-	TEAM	-	-	-	 	 	0	 	248	 	 	 	1	 	 	0	""	1	1.000	 	 	 	 	 	 	 	 
2015	11701	1	68	Boston U.	-	Totals	-	-	-	29	28	86	236	256	2	22	 	 	 	1910:47	16	0.754	71	0.816	9	 	 	 	99	1	1	 
2015	11701	1	68	Boston U.	-	Opponent Totals	-	-	-	16	16	48	262	194	1	16	 	 	 	1910:47	29	1.366	64	0.688	3	 	 	 	84	1	2	 
2015	11701	1	71	Bowling Green	-	TEAM	-	-	-	2	 	4	 	244	 	 	 	3	 	 	0	""	2	1.000	 	 	 	 	 	 	 	 
2015	11701	1	71	Bowling Green	-	Totals	-	-	-	38	35	111	277	254	2	29	 	 	 	1972:39	20	0.912	87	0.813	8	 	 	 	76	5	5	 
2015	11701	1	71	Bowling Green	-	Opponent Totals	-	-	-	20	18	58	289	250	1	33	 	 	 	1972:39	38	1.734	90	0.703	3	 	 	1	115	3	6	 
2015	11701	1	72	Bradley	-	TEAM	-	-	-	 	 	0	 	258	 	 	 	2	 	 	0	""	3	1.000	 	 	 	 	 	 	 	 
