year,team_id,team_name,wins,losses,ties,total_games
2015,30123,Academy of Art,7,11,0,18
2015,929,Adams St.,1,16,0,17
2015,3,Adelphi,12,6,1,19
2015,4,Adrian,4,14,1,19
2015,721,Air Force,7,7,4,18
2015,5,Akron,13,6,2,21
2015,10,Ala.-Huntsville,13,4,2,19
2015,14,Albany (NY),4,9,6,19
2015,2798,Albertus Magnus,11,7,2,20
2015,15,Albion,8,11,0,19
2015,16,Albright,6,12,1,19
2015,934,Alderson Broaddus,8,10,1,19
2015,18,Alfred,9,8,3,20
2015,30170,Alfred St.,3,9,1,13
2015,19,Allegheny,7,9,2,18
2015,21,Alma,8,8,3,19
2015,938,Alvernia,11,9,3,23
2015,23,American,11,4,4,19
2015,22,American Int'l,9,9,0,18
2015,24,Amherst,14,1,6,21
2015,939,Anderson (IN),10,9,1,20
2015,13028,Anderson (SC),8,9,0,17
2015,26,Anna Maria,4,12,0,16
2015,27,Appalachian St.,7,8,3,18
2015,966,Arcadia,9,7,2,18
2015,725,Army West Point,6,8,6,20
2015,36,Assumption,3,11,2,16
2015,38,Augsburg,5,11,2,18
2015,40,Augustana (IL),10,7,1,18
2015,42,Aurora,12,5,3,20
2015,953,Austin,1,13,5,19
2015,44,Averett,6,11,1,18
2015,30146,Azusa Pacific,14,3,0,17
2015,45,Babson,17,6,0,23
2015,46,Baldwin Wallace,9,11,1,21
2015,962,Bard,5,12,0,17
2015,49,Barry,6,9,1,16
2015,15646,Barton,13,7,0,20
2015,58,Baruch,12,6,2,20
2015,50,Bates,4,9,2,15
2015,26107,Becker,2,17,0,19
2015,52,Bellarmine,8,8,3,19
2015,14927,Belmont,3,15,0,18
2015,2683,Belmont Abbey,4,9,4,17
2015,53,Beloit,2,15,0,17
2015,296,Benedictine (IL),11,7,2,20
2015,56,Bentley,6,10,1,17
2015,973,Berry,13,7,1,21
2015,59,Bethany (WV),2,15,0,17
2015,30038,Bethany Lutheran,6,11,3,20
2015,60,Bethel (MN),8,10,0,18
2015,62,Binghamton,5,14,1,20
2015,28593,Birmingham-So.,13,4,1,18
2015,64,Blackburn,6,13,0,19
2015,984,Bloomfield,6,11,0,17
2015,65,Bloomsburg,14,6,2,22
2015,987,Bluffton,6,13,0,19
2015,67,Boston College,5,8,3,16
2015,68,Boston U.,12,4,4,20
2015,69,Bowdoin,10,7,3,20
2015,71,Bowling Green,14,6,1,21
2015,72,Bradley,9,11,0,20
2015,73,Brandeis,19,3,1,23
2015,30094,Brevard,4,14,1,19
2015,74,Bridgeport,5,9,1,15
2015,75,Bridgewater (VA),6,13,0,19
2015,76,Bridgewater St.,10,9,1,20
2015,78,Brockport,10,4,6,20
2015,79,Brooklyn,9,9,1,19
2015,80,Brown,5,6,6,17
2015,81,Bryant,9,5,3,17
2015,30188,Bryn Athyn,4,10,1,15
2015,83,Bucknell,10,10,3,23
2015,84,Buena Vista,4,13,1,18
2015,86,Buffalo,5,10,2,17
2015,85,Buffalo St.,6,10,2,18
2015,87,Butler,6,7,5,18
2015,2685,BYU-Hawaii,6,6,5,17
2015,88,Cabrini,13,8,0,21
2015,1305,Cairn,2,13,1,16
2015,105,Cal Lutheran,5,10,4,19
2015,90,Cal Poly,8,7,4,19
2015,91,Cal Poly Pomona,17,1,2,20
2015,92,Cal St. Dom. Hills,9,9,2,20
2015,98,Cal St. East Bay,5,8,5,18
2015,97,Cal St. Fullerton,10,8,6,24
2015,100,Cal St. L.A.,15,4,2,21
2015,30055,Cal St. Monterey Bay,3,9,4,16
2015,93,Cal St. San B'dino,9,5,2,16
2015,103,Cal St. Stanislaus,6,8,6,20
2015,995,Caldwell,13,6,0,19
2015,107,California,11,7,1,19
2015,106,California (PA),6,11,1,18
2015,30135,California Baptist,8,9,1,18
2015,89,Caltech,0,17,1,18
2015,114,Calvin,18,2,3,23
2015,115,Campbell,5,13,0,18
2015,116,Canisius,9,6,3,18
2015,117,Capital,10,9,1,20
2015,118,Carleton,10,7,2,19
2015,119,Carnegie Mellon,8,5,3,16
2015,120,Carroll (WI),10,9,2,21
2015,1000,Carson-Newman,8,8,2,18
2015,121,Carthage,11,8,0,19
2015,122,Case,8,6,4,18
2015,123,Castleton,8,10,1,19
2015,1001,Catawba,6,9,2,17
2015,124,Catholic,10,5,6,21
2015,23624,Cazenovia,6,10,0,16
2015,480,CCNY,6,11,1,18
2015,30124,Cedarville,14,4,2,20
2015,125,Centenary (LA),4,12,3,19
2015,12884,Centenary (NJ),12,8,1,21
2015,126,Central (IA),5,13,0,18
2015,1004,Central Ark.,3,13,1,17
2015,127,Central Conn. St.,5,10,2,17
2015,132,Centre,8,4,6,18
2015,133,Chaminade,6,10,0,16
2015,134,Chapman,10,7,2,19
2015,1013,Charleston (WV),22,1,1,24
2015,458,Charlotte,14,4,1,19
2015,21323,Chestnut Hill,8,10,1,19
2015,137,Chicago,12,6,2,20
2015,95,Chico St.,8,6,3,17
2015,8875,Chowan,12,8,0,20
2015,139,Chris. Newport,19,3,5,27
2015,1015,Christian Bros.,14,3,1,18
2015,140,Cincinnati,5,10,3,18
2015,142,Claremont-M-S,9,7,1,17
2015,145,Clark (MA),7,10,2,19
2015,146,Clarkson,7,10,1,18
2015,20576,Clayton St.,9,8,1,18
2015,147,Clemson,12,7,3,22
2015,148,Cleveland St.,6,12,1,19
2015,722,Coast Guard,13,3,3,19
2015,149,Coastal Caro.,16,6,1,23
2015,30083,Cobleskill St.,3,14,0,17
2015,150,Coe,4,14,0,18
2015,1023,Coker,4,8,5,17
2015,1014,Col. of Charleston,2,11,3,16
2015,151,Colby,7,6,3,16
2015,152,Colby-Sawyer,13,7,2,22
2015,153,Colgate,6,10,2,18
2015,11403,Colo. Christian,5,13,0,18
2015,154,Colorado Col.,15,4,2,21
2015,11416,Colorado Mesa,18,4,1,23
2015,155,Colorado Mines,12,7,1,20
2015,2720,Colorado St.-Pueblo,7,12,0,19
2015,158,Columbia,7,8,1,16
2015,1028,Concord,2,14,1,17
2015,162,Concordia (NY),9,3,3,15
2015,24400,Concordia (TX),5,9,3,17
2015,160,Concordia Chicago,6,10,2,18
2015,1036,Concordia Wisconsin,7,11,2,20
2015,161,Concordia-M'head,2,15,1,18
2015,163,Connecticut Col.,7,9,1,17
2015,167,Cornell,10,6,1,17
2015,166,Cornell College,3,13,2,18
2015,30111,Covenant,15,5,2,22
2015,169,Creighton,16,3,3,22
2015,30035,Crown (MN),9,9,2,20
2015,94,CSU Bakersfield,10,7,5,22
2015,101,CSUN,7,9,3,19
2015,170,Curry,11,10,1,22
2015,1059,D'Youville,4,11,2,17
2015,30174,Daemen,5,10,0,15
2015,1044,Dallas,10,8,2,20
2015,1045,Dallas Baptist,3,14,1,18
2015,2691,Daniel Webster,14,6,1,21
2015,172,Dartmouth,12,5,2,19
2015,173,Davidson,10,2,6,18
2015,174,Davis & Elkins,9,8,1,18
2015,175,Dayton,7,7,5,19
2015,1050,Defiance,5,13,2,20
2015,180,Delaware,13,6,1,20
2015,179,Delaware Valley,3,14,2,19
2015,181,Delta St.,7,10,0,17
2015,182,Denison,8,8,1,17
2015,183,Denver,11,8,1,20
2015,176,DePaul,4,10,4,18
2015,177,DePauw,10,8,1,19
2015,20,DeSales,7,11,1,19
2015,184,Detroit,9,7,4,20
2015,185,Dickinson,11,6,2,19
2015,186,Dist. Columbia,9,7,1,17
2015,30095,Dixie St.,2,12,2,16
2015,30118,Dominican (CA),2,14,2,18
2015,1332,Dominican (IL),14,6,2,22
2015,8956,Dominican (NY),13,4,1,18
2015,2692,Dowling,10,6,2,18
2015,189,Drake,5,11,3,19
2015,190,Drew,10,6,6,22
2015,191,Drexel,5,10,3,18
2015,1057,Drury,16,5,0,21
2015,192,Dubuque,7,9,3,19
2015,193,Duke,9,9,1,19
2015,194,Duquesne,8,7,3,18
2015,195,Earlham,4,11,2,17
2015,197,East Stroudsburg,5,12,1,18
2015,198,East Tenn. St.,7,10,1,18
2015,1062,East Tex. Baptist,5,7,2,14
2015,203,East. Mennonite,8,10,2,20
2015,8968,Eastern,15,4,0,19
2015,200,Eastern Conn. St.,9,6,4,19
2015,201,Eastern Ill.,3,13,1,17
2015,206,Eastern N.M.,7,6,3,16
2015,1064,Eastern Nazarene,5,12,1,18
2015,208,Eckerd,4,11,1,16
2015,1066,Edgewood,9,9,1,19
2015,211,Elizabethtown,7,5,3,15
2015,212,Elmhurst,11,5,4,20
2015,213,Elmira,1,14,2,17
2015,532,Elms,9,9,3,21
2015,1068,Elon,9,6,4,19
2015,214,Emerson,6,8,4,18
2015,30193,Emmanuel (GA),3,10,1,14
2015,215,Emmanuel (MA),5,11,2,18
2015,217,Emory,13,4,2,19
2015,216,Emory & Henry,3,12,1,16
2015,8981,Endicott,12,7,4,23
2015,1072,Erskine,8,8,2,18
2015,218,Eureka,1,16,0,17
2015,219,Evansville,6,11,1,18
2015,220,Fairfield,8,5,7,20
2015,222,Fairleigh Dickinson,4,12,2,18
2015,27892,Farmingdale St.,7,11,1,19
2015,221,FDU-Florham,6,10,3,19
2015,23157,Felician,2,16,0,18
2015,225,Ferrum,4,13,2,19
2015,28755,FGCU,8,7,5,20
2015,1079,Findlay,4,13,0,17
2015,30032,Finlandia,6,9,0,15
2015,227,Fitchburg St.,11,11,0,22
2015,231,FIU,6,9,1,16
2015,229,Fla. Atlantic,1,13,2,16
2015,233,Fla. Southern,4,8,3,15
2015,30092,Flagler,7,9,1,17
2015,230,Florida Tech,11,5,2,18
2015,11538,Fontbonne,8,14,0,22
2015,236,Fordham,8,9,4,21
2015,9011,Fort Hays St.,11,6,4,21
2015,1083,Fort Lewis,11,8,0,19
2015,238,Framingham St.,5,12,2,19
2015,1085,Francis Marion,12,4,2,18
2015,30069,Franciscan,4,12,1,17
2015,239,Frank. & Marsh.,16,2,3,21
2015,2694,Franklin,8,7,3,18
2015,241,Franklin Pierce,9,7,1,17
2015,242,Fredonia,8,7,3,18
2015,30147,Fresno Pacific,9,6,1,16
2015,243,Frostburg St.,10,6,3,19
2015,244,Furman,12,5,5,22
2015,253,Ga. Southern,8,9,0,17
2015,1097,Ga. Southwestern,4,12,2,18
2015,246,Gannon,5,11,1,17
2015,1092,Gardner-Webb,3,13,1,17
2015,30084,Geneva,10,6,3,19
2015,1094,George Fox,2,16,1,19
2015,248,George Mason,11,4,5,20
2015,249,George Washington,6,9,2,17
2015,251,Georgetown,14,4,5,23
2015,254,Georgia St.,8,10,0,18
2015,9004,Georgian Court,3,12,2,17
2015,258,Gettysburg,9,7,1,17
2015,8366,Goldey-Beacom,9,9,0,18
2015,260,Gonzaga,5,12,1,18
2015,1099,Gordon,14,5,2,21
2015,1467,Goucher,8,6,3,17
2015,1104,Grand Canyon,5,12,3,20
2015,794,Green Bay,6,9,3,18
2015,11062,Green Mountain,3,13,0,16
2015,263,Greensboro,12,7,0,19
2015,1111,Greenville,10,8,1,19
2015,264,Grinnell,9,3,5,17
2015,265,Grove City,12,8,1,21
2015,1112,Guilford,5,11,2,18
2015,266,Gust. Adolphus,16,5,1,22
2015,12399,Gwynedd Mercy,7,12,0,19
2015,267,Hamilton,5,8,2,15
2015,268,Hamline,6,10,2,18
2015,269,Hampden-Sydney,10,5,3,18
2015,1115,Hanover,5,10,3,18
2015,271,Hardin-Simmons,9,5,2,16
2015,1116,Harding,4,9,3,16
2015,272,Hartford,11,6,2,19
2015,273,Hartwick,6,10,4,20
2015,275,Harvard,11,4,2,17
2015,276,Haverford,11,7,1,19
2015,2697,Hawaii Hilo,7,9,2,18
2015,2696,Hawaii Pacific,8,9,1,18
2015,278,Heidelberg,13,7,3,23
2015,1124,Hendrix,3,15,1,19
2015,19651,High Point,10,8,2,20
2015,8398,Hilbert,4,12,1,17
2015,281,Hiram,8,8,2,18
2015,282,Hobart,12,5,3,20
2015,283,Hofstra,10,6,3,19
2015,285,Holy Cross,5,9,3,17
2015,1126,Holy Family,5,8,5,18
2015,30175,Holy Names,6,12,0,18
2015,8404,Hood,8,9,1,18
2015,286,Hope,13,7,1,21
2015,30160,Houghton,9,9,2,20
2015,287,Houston Baptist,3,11,2,16
2015,290,Howard,2,15,2,19
2015,2741,Howard Payne,5,10,1,16
2015,291,Humboldt St.,8,7,2,17
2015,292,Hunter,4,12,1,17
2015,1130,Huntingdon,2,10,5,17
2015,1133,Husson,13,8,0,21
2015,300,Ill. Wesleyan,7,12,0,19
2015,302,Ill.-Chicago,7,8,2,17
2015,30050,Ill.-Springfield,6,12,0,18
2015,297,Illinois Col.,10,7,2,19
2015,303,Immaculata,3,14,1,18
2015,2743,Incarnate Word,7,11,1,19
2015,306,Indiana,12,5,5,22
2015,310,Iona,9,7,3,19
2015,30173,Iowa Wesleyan,0,12,0,12
2015,308,IPFW,6,9,4,19
2015,313,Ithaca,6,8,3,17
2015,2699,IUPUI,5,8,3,16
2015,316,Jacksonville,4,12,0,16
2015,317,James Madison,10,8,4,22
2015,320,John Carroll,17,4,0,21
2015,321,John Jay,6,11,0,17
2015,322,Johns Hopkins,9,7,2,18
2015,22626,Johnson & Wales (RI),15,6,1,22
2015,324,Johnson St.,5,10,1,16
2015,325,Juniata,5,14,0,19
2015,326,Kalamazoo,12,6,3,21
2015,329,Kean,12,8,1,21
2015,330,Keene St.,12,7,1,20
2015,334,Kentucky,10,6,4,20
2015,335,Kenyon,18,2,2,22
2015,1159,Keuka,11,5,1,17
2015,30047,Keystone,10,7,0,17
2015,30051,King (TN),7,10,0,17
2015,336,King's (PA),15,5,2,22
2015,337,Knox,15,4,0,19
2015,333,Ky. Wesleyan,7,8,3,18
2015,1163,La Roche,12,6,1,19
2015,340,La Salle,7,9,3,19
2015,341,La Verne,11,8,1,20
2015,342,Lafayette,6,10,2,18
2015,1162,LaGrange,1,15,2,18
2015,2746,Lake Erie,11,5,2,18
2015,344,Lake Forest,7,10,2,19
2015,1164,Lakeland,6,12,1,19
2015,30085,Lancaster Bible,12,7,1,20
2015,1167,Lander,6,6,2,14
2015,8486,Lasell,8,9,1,18
2015,348,Lawrence,4,11,3,18
2015,349,Le Moyne,12,6,0,18
2015,351,Lebanon Valley,7,9,3,19
2015,30013,Lee,12,9,2,23
2015,13302,Lees-McRae,13,5,2,20
2015,352,Lehigh,10,8,1,19
2015,279,Lehman,5,11,0,16
2015,1170,Lenoir-Rhyne,6,7,4,17
2015,24317,Lesley,11,7,4,22
2015,8490,LeTourneau,4,11,2,17
2015,354,Lewis,11,5,3,19
2015,355,Liberty,11,6,1,18
2015,1174,Limestone,16,3,1,20
2015,1176,Lincoln Memorial,7,6,3,16
2015,30136,Lindenwood (MO),10,7,3,20
2015,1179,Linfield,6,11,1,18
2015,28600,Lipscomb,12,4,1,17
2015,361,LIU Brooklyn,5,12,0,17
2015,362,LIU Post,15,4,2,21
2015,360,Lock Haven,5,11,1,17
2015,363,Longwood,4,14,1,19
2015,364,Loras,17,3,2,22
2015,1182,Louisiana Col.,6,9,4,19
2015,367,Louisville,11,8,3,22
2015,371,Loyola Chicago,8,6,5,19
2015,369,Loyola Maryland,5,8,4,17
2015,370,Loyola Marymount,9,4,6,19
2015,30177,Lubbock Christian,9,6,1,16
2015,372,Luther,16,3,1,20
2015,373,Lycoming,15,3,3,21
2015,374,Lynchburg,13,7,1,21
2015,30065,Lyndon St.,6,11,0,17
2015,20794,Lynn,19,1,1,21
2015,376,Macalester,11,6,2,19
2015,377,MacMurray,4,13,0,17
2015,378,Maine Maritime,8,8,1,17
2015,30137,Malone,2,13,1,16
2015,1192,Manchester,6,12,0,18
2015,381,Manhattan,2,12,2,16
2015,382,Manhattanville,7,11,0,18
2015,1194,Maranatha Baptist,12,6,1,19
2015,1196,Marian (WI),6,12,0,18
2015,385,Marietta,6,12,0,18
2015,386,Marist,7,7,4,18
2015,387,Marquette,8,6,4,18
2015,1199,Mars Hill,9,7,1,17
2015,388,Marshall,7,9,3,19
2015,8597,Martin Luther,6,11,0,17
2015,30075,Mary,5,9,2,16
2015,1203,Mary Hardin-Baylor,8,7,3,18
2015,390,Mary Washington,8,8,3,19
2015,392,Maryland,13,6,3,22
2015,394,Marymount (VA),3,15,0,18
2015,395,Maryville (MO),5,9,4,18
2015,396,Maryville (TN),12,6,1,19
2015,397,Marywood,10,5,4,19
2015,399,Mass. Maritime,7,8,2,17
2015,400,Massachusetts,3,14,1,18
2015,773,McDaniel,8,8,1,17
2015,30138,McKendree,5,10,2,17
2015,486,MCLA,7,8,3,18
2015,8530,McMurry,6,8,0,14
2015,379,Me.-Farmington,1,15,1,17
2015,30040,Me.-Presque Isle,4,10,1,15
2015,23725,Medaille,17,5,0,22
2015,403,Medgar Evers,4,11,0,15
2015,404,Memphis,9,7,2,18
2015,406,Mercer,14,7,0,21
2015,724,Merchant Marine,10,7,3,20
2015,407,Mercy,3,14,0,17
2015,408,Mercyhurst,19,3,0,22
2015,410,Merrimack,15,5,2,22
2015,411,Messiah,21,1,1,23
2015,412,Methodist,13,3,1,17
2015,413,Metro St.,10,8,0,18
2015,418,Michigan,6,9,3,18
2015,416,Michigan St.,12,5,6,23
2015,420,Middlebury,9,3,5,17
2015,1222,Midwestern St.,13,4,2,19
2015,423,Millersville,6,11,1,18
2015,424,Millikin,9,8,1,18
2015,426,Millsaps,13,6,0,19
