A&M-Corpus Christi,26172,""
Abilene Christian,2,""
Academy of Art,30123,""
Adams St.,929,""
Adelbert,506445,""
Adelphi,3,""
Adrian,4,""
Agnes Scott,11324,""
Air Force,721,""
Akron,5,""
Ala.-Huntsville,10,""
Alabama,8,""
Alabama A&M,6,""
Alabama St.,7,""
Alas. Anchorage,11,""
Alas. Fairbanks,12,""
Albany (NY),14,""
Albany St. (GA),13,""
Albertus Magnus,2798,""
Albion,15,""
Albright,16,""
Alcorn,17,""
Alderson Broaddus,934,""
Alfred,18,""
Alfred St.,30170,""
Allegheny,19,""
Allen,500120,""
Alliance,500130,""
Alliant Int'l,506148,""
Alma,21,""
Alvernia,938,""
Alverno,28746,""
American,23,""
American (PR),1466,""
American Int'l,22,""
Amherst,24,""
Anderson (IN),939,""
Anderson (SC),13028,""
Angelo St.,25,""
Anna Maria,26,""
Appalachian St.,27,""
Aquinas,500180,""
Arcadia,966,""
Arizona,29,""
Arizona St.,28,""
Ark.-Fort Smith,30105,""
Ark.-Monticello,8411,""
Ark.-Pine Bluff,2678,""
Arkansas,31,""
Arkansas St.,30,""
Arkansas Tech,947,""
Armstrong St.,33,""
Army West Point,725,""
Arnold,506427,""
Asbury,506029,""
Ashland,35,""
Assumption,36,""
Athens St.,500260,""
Auburn,37,""
Augsburg,38,""
Augusta,39,""
Augustana (IL),40,""
Augustana (SD),41,""
AUM,30093,""
Aurora,42,""
Austin,953,""
Austin Peay,43,""
Averett,44,""
Azusa Pacific,30146,""
Azusa Pacific,500089,""
Babson,45,""
Baker,506059,""
Baldwin Wallace,46,""
Ball St.,47,""
Baptist Bible (PA),500367,""
Bard,962,""
Barrington,500385,""
Barry,49,""
Barton,15646,""
Baruch,58,""
Bates,50,""
Bay Path,26520,""
Baylor,51,""
Becker,26107,""
Belhaven,30197,""
Bellarmine,52,""
Belmont,14927,""
Belmont Abbey,2683,""
Beloit,53,""
Bemidji St.,54,""
Benedict,55,""
Benedictine (IL),296,""
Bennett,14770,""
Bentley,56,""
Berea,30171,""
Berea,506023,""
Berry,973,""
Bethany (KS),506014,""
Bethany (WV),59,""
Bethany Lutheran,30038,""
Bethel (KS),506120,""
Bethel (MN),60,""
Bethel (TN),500500,""
Bethune-Cookman,61,""
Binghamton,62,""
Biola,500515,""
Biola,30220,""
Birmingham-So.,28593,""
Biscayne,506250,""
Bishop's (CAN),506218,""
Black Hills St.,506069,""
Black Hills St.,30134,""
Blackburn,64,""
Bloomfield,984,""
Bloomsburg,65,""
Bluefield Col.,500552,""
Bluefield St.,985,""
Bluffton,987,""
Boise St.,66,""
Boston College,67,""
Boston St.,506262,""
Boston U.,68,""
Bowdoin,69,""
